,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR0
1,7216.2,24.603,0,2.698,5.252,2,0.068351,0.0078947,0.89474
2,7216.7,23.81,0,2.712,5.249,2,0.065941,-0.0013158,0.060789
3,7217.2,23.851,0,2.724,5.242,2,0.066066,-0.0092105,0.46048
4,7217.7,25.558,0,2.72,5.189,2,0.071272,-0.0065789,0.32895
5,7218.2,28.016,0,2.715,5.129,2,0.07889,-0.0032895,0.16447
6,7218.7,27.439,0,2.718,5.096,2,0.077089,-0.0052632,0.26316
7,7219.2,24.816,0,2.722,5.062,2,0.069001,-0.0078947,0.39474
8,7219.7,23.669,0,2.725,5.034,2,0.065514,-0.0098684,0.49342
9,7220.2,24.217,0,2.721,5.029,2,0.067176,-0.0072368,0.36184
10,7220.7,25.005,0,2.713,5.025,2,0.069578,-0.0019737,0.098684
11,7221.2,24.531,0,2.702,5.049,2,0.068132,0.0052632,0.37216
12,7221.7,23.939,0,2.698,5.08,2,0.066332,0.0078947,0.55824
13,7222.2,23.529,0,2.698,5.118,2,0.065091,0.0078947,0.55824
14,7222.7,22.129,0,2.699,5.126,2,0.060882,0.0072368,0.51172
15,7223.2,22.021,0,2.696,5.135,2,0.060559,0.0092105,0.65128
16,7223.7,22.043,0,2.699,5.114,2,0.060624,0.0072368,0.51172
17,7224.2,22.02,0,2.711,5.09,2,0.060556,-0.00065789,0.032895
18,7224.7,21.032,0,2.719,5.066,2,0.057615,-0.0059211,0.29605
19,7225.2,20.322,0,2.715,5.042,2,0.055515,-0.0032895,0.16447
20,7225.7,23.266,0,2.711,4.949,2,0.064297,-0.00065789,0.032895
21,7226.2,26.098,0,2.705,4.913,2,0.072934,0.0032895,0.2326
22,7226.7,29.005,0,2.697,4.91,2,0.081996,0.0085526,0.60476
23,7227.2,32.6,0,2.687,4.905,2,0.093486,0.015132,1.07
24,7227.7,38.959,0,2.683,4.92,2,0.1146,0.017763,1.256
25,7228.2,45.163,0,2.686,4.939,2,0.13621,0.015789,1.1165
