,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR6
1,7216.2,24.603,0,2.698,5.252,2,0.068351,0.0078947,0.48463
2,7216.7,23.81,0,2.712,5.249,2,0.065941,-0.0013158,0.33486
3,7217.2,23.851,0,2.724,5.242,2,0.066066,-0.0092105,0.064083
4,7217.7,25.558,0,2.72,5.189,2,0.071272,-0.0065789,0.098687
5,7218.2,28.016,0,2.715,5.129,2,0.07889,-0.0032895,0.30887
6,7218.7,27.439,0,2.718,5.096,2,0.077089,-0.0052632,0.19938
7,7219.2,24.816,0,2.722,5.062,2,0.069001,-0.0078947,0.019268
8,7219.7,23.669,0,2.725,5.034,2,0.065514,-0.0098684,0.10033
9,7220.2,24.217,0,2.721,5.029,2,0.067176,-0.0072368,0.041216
10,7220.7,25.005,0,2.713,5.025,2,0.069578,-0.0019737,0.31878
11,7221.2,24.531,0,2.702,5.049,2,0.068132,0.0052632,0.036628
12,7221.7,23.939,0,2.698,5.08,2,0.066332,0.0078947,0.16025
13,7222.2,23.529,0,2.698,5.118,2,0.065091,0.0078947,0.1677
14,7222.7,22.129,0,2.699,5.126,2,0.060882,0.0072368,0.14643
15,7223.2,22.021,0,2.696,5.135,2,0.060559,0.0092105,0.28793
16,7223.7,22.043,0,2.699,5.114,2,0.060624,0.0072368,0.14798
17,7224.2,22.02,0,2.711,5.09,2,0.060556,-0.00065789,0.33044
18,7224.7,21.032,0,2.719,5.066,2,0.057615,-0.0059211,0.049635
19,7225.2,20.322,0,2.715,5.042,2,0.055515,-0.0032895,0.16861
20,7225.7,23.266,0,2.711,4.949,2,0.064297,-0.00065789,0.35289
21,7226.2,26.098,0,2.705,4.913,2,0.072934,0.0032895,0.205
22,7226.7,29.005,0,2.697,4.91,2,0.081996,0.0085526,0.11279
23,7227.2,32.6,0,2.687,4.905,2,0.093486,0.015132,0.50905
24,7227.7,38.959,0,2.683,4.92,2,0.1146,0.017763,0.56845
25,7228.2,45.163,0,2.686,4.939,2,0.13621,0.015789,0.29921
26,7228.7,51.411,0,2.691,4.959,2,0.15904,0.0125,0.07036
27,7229.2,48.537,0,2.691,4.978,2,0.1484,0.0125,0.0065416
28,7229.7,42.778,0,2.691,4.997,2,0.12778,0.0125,0.11719
29,7230.2,34.1,0,2.689,5.017,2,0.098374,0.013816,0.38668
30,7230.7,27.48,0,2.688,5.037,2,0.077217,0.014474,0.56014
31,7231.2,28.407,0,2.687,5.078,2,0.080115,0.015132,0.58927
32,7231.7,30.543,0,2.692,5.116,2,0.086873,0.011842,0.31613
33,7232.2,32.641,0,2.7,5.075,2,0.093619,0.0065789,0.09651
34,7232.7,37.148,0,2.701,4.994,2,0.10848,0.0059211,0.23221
35,7233.2,42.033,0,2.702,4.852,2,0.12518,0.0052632,0.37892
36,7233.7,45.946,0,2.7,4.744,2,0.13901,0.0065789,0.36888
37,7234.2,46.814,0,2.699,4.717,2,0.14214,0.0072368,0.34111
38,7234.7,47.714,0,2.696,4.704,2,0.1454,0.0092105,0.22112
39,7235.2,49.711,0,2.686,4.752,2,0.15272,0.015789,0.20016
40,7235.7,53.801,0,2.682,4.752,2,0.16807,0.018421,0.29417
41,7236.2,58.689,0,2.69,4.748,2,0.18705,0.013158,0.19187
42,7236.7,61.15,0,2.694,4.744,2,0.19687,0.010526,0.43692
43,7237.2,61.85,0,2.699,4.776,2,0.1997,0.0072368,0.68649
44,7237.7,58.447,0,2.701,4.818,2,0.18609,0.0059211,0.69785
45,7238.2,52.023,0,2.713,4.916,2,0.16134,-0.0019737,0.86933
46,7238.7,48.749,0,2.715,4.93,2,0.14918,-0.0032895,0.73061
47,7239.2,46.031,0,2.711,4.896,2,0.13932,-0.00065789,0.80302
48,7239.7,45.738,0,2.713,4.862,2,0.13827,-0.0019737,0.73092
49,7240.2,45.419,0,2.711,4.843,2,0.13713,-0.00065789,0.78986
50,7240.7,45.325,0,2.715,4.841,2,0.13679,-0.0032895,0.65627
51,7241.2,47.506,0,2.711,4.839,2,0.14465,-0.00065789,0.83498
52,7241.7,48.033,0,2.715,4.836,2,0.14656,-0.0032895,0.7149
53,7242.2,45.41,0,2.721,4.825,2,0.13709,-0.0072368,0.46072
54,7242.7,42.947,0,2.718,4.766,2,0.12837,-0.0052632,0.50709
55,7243.2,42.835,0,2.715,4.718,2,0.12798,-0.0032895,0.60342
56,7243.7,45.149,0,2.712,4.666,2,0.13616,-0.0013158,0.75118
57,7244.2,48.305,0,2.713,4.638,2,0.14756,-0.0019737,0.78665
58,7244.7,52.132,0,2.711,4.624,2,0.16175,-0.00065789,0.93758
59,7245.2,51.798,0,2.71,4.668,2,0.16049,0,0.96294
60,7245.7,48.77,0,2.706,4.741,2,0.14926,0.0026316,0.70947
