Depth,GR,Caliper,Ring resistivity,Porosity
19.9644,,24.37384,0.9047,0.694796296
20.1168,,24.37384,0.906,0.694796296
20.2692,,24.37384,0.8837,0.694796296
20.4216,,24.37384,0.8925,0.694796296
20.574,,21.59,0.891,0.694796296
20.7264,,21.59,0.8969,0.694796296
20.8788,,21.59,0.8894,0.694796296
21.0312,,21.59,0.8972,0.694796296
21.1836,,21.59,0.8997,0.694796296
21.336,,21.59,0.9175,0.694796296
21.4884,,21.59,0.9305,0.694796296
21.6408,,21.59,0.9329,0.694796296
21.7932,,21.59,0.938,0.59641358
21.9456,,21.59,0.9593,0.586154321
22.098,,21.59,0.946,0.58858642
22.2504,,21.59,0.9508,0.592314815
22.4028,,21.59,0.9627,0.592580247
22.5552,,21.59,0.9603,0.596814815
22.7076,96.35265944,21.59,0.9525,0.593765432
22.86,104.3592701,21.59,0.9933,0.59241358
23.0124,104.5112986,21.59,0.9759,0.581925926
23.1648,107.5232304,21.59,0.9714,0.577537037
23.3172,104.5310483,21.59,0.9781,0.577537037
23.4696,104.2714754,21.59,0.9924,0.577537037
23.622,105.0232763,21.59,0.9919,0.577537037
23.7744,106.3727336,21.59,0.9842,0.577537037
23.9268,107.0752392,21.59,0.9801,0.577537037
24.0792,103.5354029,21.59,0.9869,0.577537037
24.2316,100.0388125,21.59,1.0046,0.577537037
24.384,96.93651573,21.59,1.0047,0.577537037
24.5364,96.88911585,21.59,0.9911,0.577537037
24.6888,96.84203243,21.59,0.9877,0.577537037
24.8412,96.79526143,21.59,1.0128,0.577537037
24.9936,96.74879887,21.59,0.9928,0.577537037
25.146,96.70264087,21.59,1.0052,0.577537037
25.2984,96.65678358,21.59,0.9997,0.577537037
25.4508,96.61122327,21.59,0.9956,0.577537037
25.6032,96.56595625,21.59,0.9836,0.577537037
25.7556,96.52097889,21.59,0.9961,0.577537037
25.908,,21.59,1.0016,0.577537037
26.0604,,21.59,1.024,0.577537037
26.2128,,25.02916,0.999,0.577537037
26.3652,,25.137618,0.9687,0.577537037
26.5176,,25.137618,1.0046,0.577537037
26.67,,25.137618,1.0166,0.577537037
26.8224,,25.137618,1.0136,0.577537037
26.9748,,25.137618,0.9864,0.577537037
27.1272,,25.137618,1.0118,0.577537037
27.2796,,25.137618,0.9756,0.577537037
27.432,,25.137618,1.05,0.577537037
27.5844,,21.59,1.0186,0.577537037
27.7368,,21.59,1.0266,0.577537037
27.8892,,21.59,1.0483,0.577537037
28.0416,,21.59,1.0283,0.577537037
28.194,,21.59,0.9981,0.577537037
28.3464,,21.59,0.9997,0.577537037
28.4988,,21.59,1.0384,0.577537037
28.6512,,21.59,1.0227,0.582493827
28.8036,,21.59,1.0389,0.594524691
28.956,,23.12924,1.0823,0.600277778
29.1084,,22.987508,1.045,0.605808642
29.2608,,22.905974,1.0077,0.605808642
29.4132,105.323974,22.880828,1.0317,0.605808642
29.5656,113.1773858,22.88667,1.0299,0.605808642
29.718,112.042219,22.788118,1.0132,0.60291358
29.8704,111.2371277,22.805136,1.0629,0.58532716
30.0228,106.6861027,22.834092,1.0364,0.555166667
30.1752,105.8549251,22.927818,1.022,0.549419753
30.3276,107.3226699,22.927056,1.0683,0.527790123
30.48,107.2804484,23.209758,1.0702,0.533537037
30.6324,107.238454,23.080726,1.0869,0.522833333
30.7848,109.9452831,23.061676,1.0766,0.52812963
30.9372,109.0284402,23.068788,1.0678,0.519234568
31.0896,114.2297495,23.051262,1.0689,0.538845679
31.242,114.9347204,23.08987,1.0886,0.532919753
31.3944,124.6097125,23.007574,1.1026,0.527351852
31.5468,117.3214569,23.031958,1.0849,0.5095
31.6992,118.1496431,23.031958,1.0807,0.511740741
31.8516,112.010796,23.031958,1.1087,0.51304321
32.004,120.8100944,23.031958,1.0868,0.529487654
32.1564,117.1542587,23.031958,1.1452,0.528660494
32.3088,119.3460098,23.031958,1.1086,0.531987654
32.4612,115.2067422,23.031958,1.1138,0.512197531
32.6136,117.1542763,23.031958,1.0652,0.517876543
32.766,116.8679706,21.59,1.0313,0.512493827
32.9184,116.3233424,21.59,1.0338,0.524932099
33.0708,119.2515112,21.59,1.0535,0.519666667
33.2232,115.8502655,21.59,1.0704,0.533364198
33.3756,114.0753588,21.59,1.0719,0.526975309
33.528,104.099125,21.59,1.0914,0.535271605
33.6804,106.1648467,21.59,1.0841,0.516444444
33.8328,108.1115542,21.59,1.0257,0.51604321
33.9852,115.7781989,21.59,1.0063,0.517506173
34.1376,113.0223595,21.59,1.0766,0.528104938
34.29,105.2930152,21.59,1.1158,0.533006173
34.4424,107.4736513,21.59,1.1615,0.537771605
34.5948,108.6744263,21.59,1.1431,0.539833333
34.7472,121.2569583,21.59,1.1484,0.543179012
