Depth,GR,Porosity,Caliper,Ring resistivity,MLT2_all_original,SD_all_original
40.7148,110.6914389,0.575835322,24.39035,0.9395,1.807860311,0.881852742
40.8672,111.2972589,0.583591885,24.945594,0.9149,1.788016437,0.885873245
41.0196,110.4413226,0.581026253,25.243536,0.9071,1.793737283,0.884670374
41.172,112.0428393,0.576073986,25.384506,0.9187,1.770540638,0.889765481
41.3244,109.8969941,0.564081146,25.303226,0.9244,1.740639333,0.897175793
41.4768,111.848389,0.557577566,25.352248,0.9221,1.73536494,0.898579823
41.6292,109.8784578,0.551968974,25.574498,0.9132,1.739497882,0.897477202
41.7816,112.2792984,0.556921241,25.66797,0.9513,1.72566767,0.901236055
41.934,111.4455005,0.561097852,25.336754,0.9593,1.700682586,0.908521078
42.0864,108.5708286,0.562171838,25.120854,0.894,1.676473442,0.91617475
42.2388,106.8204865,0.551789976,24.90597,0.9006,1.642813247,0.927761691
42.3912,109.9907393,0.539140811,24.980138,0.995,1.617944911,0.937007081
42.5436,115.2431589,0.531443914,24.76119,1.0012,1.616454231,0.937579335
42.696,113.1923141,0.530548926,24.13889,0.9502,1.575317128,0.954155187
42.8484,112.1186878,0.530906921,23.642066,0.9475,1.533572572,0.97246703
43.0008,112.6335532,0.52428401,23.6093,1.0518,1.49847758,0.988963599
43.1532,111.4387975,0.516348449,23.812754,1.0193,1.488561037,0.993799885
43.3056,110.4750851,0.513126492,23.749,1.0163,1.453744304,1.011366974
43.458,110.9544285,0.512052506,23.658576,1.0138,1.448865597,1.013899762
43.6104,112.6176799,0.515871122,23.859744,1.0216,1.433418881,1.022031152
43.7628,112.4606459,0.520405728,24.026622,1.0328,1.433237296,1.022127744
43.9152,114.8420303,0.526372315,24.177498,1.0613,1.428287744,1.024769504
44.0676,115.9199102,0.522434368,24.174958,1.0824,1.457511704,1.009422909
44.22,113.6208829,0.525119332,24.07539,1.0888,1.4812835,0.99739694
44.3724,107.2633025,0.528162291,23.953216,1.052,1.483534927,0.996279839
44.5248,106.998958,0.531085919,23.97252,1.0487,1.482766483,0.996660691
44.6772,104.9672048,0.525357995,23.962106,1.0902,1.484651179,0.995727407
44.8296,106.4349684,0.52022673,23.893526,1.0491,1.478922098,0.998572719
44.982,104.5789444,0.521062053,23.890986,1.0797,1.493598542,0.991333651
45.1344,107.8650486,0.52398568,24.063706,1.0678,1.509310498,0.983767472
45.2868,108.4407211,0.532100239,24.40178,1.0287,1.533446718,0.972524426
45.4392,110.1221385,0.528221957,24.436578,1.0798,1.531679621,0.973331669
45.5916,110.2914684,0.518198091,24.362918,1.065,1.534317456,0.972127591
45.744,108.6124514,0.509725537,24.261572,1.0036,1.526296749,0.975806272
45.8964,106.9226038,0.50823389,24.006048,1.0999,1.546523077,0.96663035
46.0488,107.0907215,0.507875895,23.928832,1.0595,1.570784667,0.956072185
46.2012,109.3168275,0.499821002,23.835868,1.0764,1.602119627,0.943184755
46.3536,112.3593345,0.50202864,24.245062,1.0702,1.627196566,0.933500873
46.506,111.7993174,0.508114558,24.330914,1.0701,1.653108821,0.924102892
46.6584,112.0229287,0.517243437,24.1046,1.0998,1.675119247,0.916619872
46.8108,114.924346,0.513066826,23.990808,1.1097,1.699333544,0.908932306
46.9632,117.4668755,0.511515513,24.179276,1.1151,1.724757333,0.901490364
47.1156,113.9107452,0.510023866,24.122888,1.1008,1.730465754,0.899909705
47.268,111.2177861,0.518914081,24.144224,1.0795,1.728466373,0.900459531
47.4204,111.2512809,0.517720764,23.683722,1.1122,1.737096816,0.898115628
47.5728,115.5853112,0.507338902,23.458678,1.1356,1.691774912,0.911269912
47.7252,112.267988,0.50477327,23.327106,1.0394,1.677994786,0.915676817
47.8776,110.6904288,0.506801909,23.725124,1.1124,1.649507867,0.925371204
48.03,109.1046226,0.511336516,24.187404,1.0526,1.631508536,0.931893588
48.1824,113.6546994,0.509128878,24.084788,1.1193,1.628447412,0.933032854
48.3348,114.4674187,0.50650358,24.203406,1.1367,1.635113067,0.930563203
48.4872,116.1902735,0.507398568,24.213058,1.0518,1.610043762,0.940063206
48.6396,115.7485914,0.505787589,24.217376,1.14,1.595861664,0.945689593
48.792,114.4651002,0.510202864,23.944072,1.1359,1.570421829,0.95622641
48.9444,109.7100887,0.516109785,23.892256,1.1134,1.572895043,0.955177407
49.0968,108.0836677,0.51676611,23.882858,1.1253,1.54148247,0.968885712
49.2492,108.3250874,0.518198091,23.971504,1.114,1.567769431,0.957357235
49.4016,110.2848846,0.514618138,23.767542,1.1232,1.557685179,0.961711203
49.554,108.4760323,0.515990453,23.846536,1.0539,1.5837563,0.950633129
49.7064,104.5060387,0.514498807,24.093932,1.0643,1.619976319,0.936230507
49.8588,106.4201021,0.513902148,24.38146,1.1082,1.660345933,0.921591147
50.0112,104.7752292,0.523210024,24.485092,1.1403,1.67194942,0.91766876
50.1636,108.8288838,0.531682578,24.73071,1.1721,1.663618373,0.92047183
50.316,105.8900587,0.544868735,24.936958,1.1763,1.652955492,0.924156647
50.4684,104.4432784,0.544749403,25.11552,1.1384,1.683826048,0.913789202
50.6208,101.2889897,0.551133652,25.060656,1.1105,1.686809995,0.912836179
50.7732,101.3335743,0.549940334,24.848058,1.1226,1.69520335,0.910202588
50.9256,102.3696498,0.547732697,24.932894,1.0442,1.695120554,0.910228226
51.078,100.9356987,0.540930788,24.572468,1.0491,1.726529293,0.900996135
51.2304,100.3257338,0.536694511,24.148542,1.083,1.689796114,0.91189124
51.3828,104.6479613,0.527923628,23.395686,1.1812,1.65803238,0.922388668
51.5352,109.8273442,0.524403341,23.485094,1.1158,1.654642865,0.923566314
51.6876,110.9307748,0.518138425,23.618444,1.2472,1.665017334,0.919996461
51.84,109.3462003,0.521420048,23.889716,1.2286,1.680741945,0.914783399
51.9924,113.1839259,0.514677804,23.585932,1.1641,1.683374733,0.913934107
52.1448,116.8355195,0.515214797,23.498556,1.1778,1.698232511,0.909269279
52.2972,115.8034403,0.51127685,22.951186,1.1945,1.694660422,0.910370833
52.4496,109.0617506,0.506801909,22.59965,1.1502,1.687361596,0.912660966
52.602,106.3998754,0.494630072,22.480524,1.1978,1.700180436,0.908673936
52.7544,108.733363,0.495644391,22.513036,1.1733,1.709107001,0.905994283
52.9068,113.1798535,0.493854415,22.40788,1.182,1.758517706,0.892632072
53.0592,114.8299246,0.496121718,22.337014,1.1814,1.794721525,0.884466992
53.2116,115.9130828,0.48597852,22.43074,1.1785,1.78274835,0.887012108
53.364,116.0992971,0.481742243,22.868382,1.1698,1.795250638,0.884358091
53.5164,115.1489143,0.487350835,23.180294,1.1485,1.843360518,0.875736531
53.6688,114.5789094,0.485322196,23.296626,1.2055,1.828188211,0.878180143
53.8212,112.3893453,0.489856802,22.873462,1.1614,1.804288612,0.882544817
53.9736,114.5115063,0.489260143,22.587712,1.1508,1.812543996,0.880966322
54.126,112.9633209,0.489618138,22.506178,1.1508,1.824636623,0.878789008
54.2784,115.8667913,0.481682578,22.48154,1.2221,1.809818474,0.881479227
54.4308,113.4634705,0.469809069,22.722332,1.2288,1.803434385,0.882712399
54.5832,112.7925992,0.466885442,22.327108,1.2544,1.768849289,0.890159486
54.7356,108.4219594,0.465214797,22.145244,1.2616,1.755111532,0.893471934
54.888,108.6491465,0.464319809,22.178518,1.2609,1.745428609,0.895925892
55.0404,110.266008,0.473090692,22.162516,1.218,1.712250429,0.905069734
55.1928,113.0387107,0.475298329,22.389084,1.1732,1.67450617,0.916821976
55.3452,113.7322526,0.478162291,22.411436,1.1418,1.68766455,0.912564862
55.4976,109.4290595,0.469988067,22.786594,1.1312,1.719838507,0.902879114
55.65,108.0018242,0.468078759,22.499574,1.1773,1.759524157,0.892386247
55.8024,108.671852,0.463186158,22.535896,1.0753,1.78119414,0.887353795
55.9548,110.8219234,0.461217184,22.510242,1.2233,1.797950945,0.883807041
56.1072,113.5000183,0.464081146,22.59838,1.1832,1.795017276,0.884406084
56.2596,112.2531107,0.472136038,22.66188,1.1262,1.776531895,0.888394295
56.412,112.1005177,0.483353222,22.851872,1.1753,1.765533428,0.890940741
56.5644,109.7544897,0.490871122,22.909276,1.1009,1.782928822,0.8869726
56.7168,107.7532133,0.491408115,22.95779,1.108,1.796973787,0.884005536
56.8692,106.4534778,0.490871122,23.115016,1.0605,1.797597701,0.883878677
57.0216,101.729332,0.490990453,22.860508,1.0897,1.755110276,0.893472246
57.174,101.9506268,0.486873508,22.682962,1.124,1.72348709,0.901846632
57.3264,104.5411467,0.490513126,22.41804,1.037,1.726230514,0.901079245
57.4788,108.0573238,0.485799523,22.71903,1.1172,1.687942588,0.912476742
57.6312,111.7468452,0.483114558,23.247858,1.0917,1.67711586,0.915964212
