TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1985.25,1986.39,8.85015,108.502,-13.7791,16.0103,20.1827,70.3923,2.54668,0.00232006,muddy siltstone
1986.39,1987.22,8.84994,124.99,-13.6432,10.0285,9.68659,71.3461,2.56635,-0.204059,mudstone
1987.22,1987.72,8.85015,107.132,-13.677,11.0566,12.5603,70.7933,2.54939,-0.0480004,muddy siltstone
1987.72,1988.23,8.83477,107.132,-13.7469,11.0566,11.8436,71.1248,2.54736,-0.255772,mudstone
1988.23,1990.13,8.84251,77.2488,-13.797,24.6225,19.9803,70.5128,2.53175,0.0480078,silty mudstone
1990.13,1991.46,8.85215,55.2799,-14.0485,41.0025,61.4737,69.8733,2.50394,0.0286442,siltstone
1991.46,1992.09,8.85125,90.5191,-13.7506,12.5509,16.121,70.6656,2.55685,0.334985,silty mudstone
1992.09,1992.41,8.85386,99.8566,-13.7514,11.3437,17.3753,70.664,2.57314,0.333734,muddy siltstone
1992.41,1992.85,8.85748,105.258,-13.7625,10.1535,14.4717,70.8647,2.58128,0.325508,silty mudstone
1992.85,1993.23,8.86059,100.881,-13.7822,12.7762,19.7978,70.4842,2.57178,0.378751,muddy siltstone
1993.23,1993.92,8.84914,102.929,-13.7235,11.4996,16.1708,70.5122,2.57178,0.294379,silty mudstone
1993.92,1994.68,8.84703,76.4069,-13.9351,38.6546,48.8206,69.7907,2.5555,0.223202,siltstone
1994.68,1995.38,8.84663,88.5423,-13.8068,13.3335,10.6887,71.2491,2.56635,0.223509,mudstone
1995.38,1996.08,8.83718,88.4303,-13.7893,18.846,25.4922,70.6776,2.55482,0.322445,siltstone
1996.08,1997.09,8.84693,123.981,-13.6453,6.54283,4.79524,72.2857,2.54871,0.335414,mudstone
1997.09,1997.97,8.85185,81.9619,-13.8472,22.7778,31.8071,70.2313,2.5365,0.222733,siltstone
1997.97,1998.8,8.84994,91.702,-13.7412,12.8905,14.8434,70.7085,2.53921,0.155531,silty mudstone
1998.8,1999.49,8.85517,86.9692,-13.8304,22.838,30.7087,70.2804,2.51818,0.132997,siltstone
1999.49,2000.57,8.85175,92.2153,-13.8377,25.8065,31.9697,70.2939,2.52429,0.35309,muddy siltstone
2000.57,2001.9,8.85376,70.8322,-14.0175,51.0287,71.6779,70.1562,2.49444,-0.119277,siltstone
2001.9,2002.73,8.84814,85.2263,-13.8982,18.0433,14.9761,71.227,2.53243,-0.0296713,mudstone
2002.73,2003.55,8.85145,55.1568,-14.0936,62.4536,72.3979,70.1851,2.48155,-0.0910841,siltstone
2003.55,2005.2,8.85989,77.9849,-13.7096,16.8315,16.9506,70.9205,2.50054,-0.0837319,silty mudstone
2005.2,2006.28,8.85195,117.017,-13.6094,8.17759,7.41347,71.5641,2.54261,-0.09012,mudstone
2006.28,2007.42,8.85899,80.3765,-13.8812,16.9658,22.2236,70.5913,2.52565,-0.0790522,muddy siltstone
2007.42,2007.87,8.85266,77.7868,-13.9262,19.6549,32.4874,70.4001,2.52361,0.177884,siltstone
2007.87,2009.33,8.85798,90.6016,-13.7316,15.1998,18.6695,70.7837,2.52157,0.0870244,silty mudstone
2009.33,2010.6,8.84994,61.7175,-13.8544,88.1945,85.1241,70.1688,2.47951,-0.0936519,siltstone
2010.6,2011.48,8.84924,94.0924,-13.8239,15.2893,18.7956,70.524,2.53989,0.0211918,silty mudstone
2011.48,2012.18,8.85366,75.7324,-13.7311,27.2714,36.9739,69.7349,2.5555,0.0978475,siltstone
2012.18,2012.75,8.85668,85.8392,-13.5997,18.9124,19.4394,70.6938,2.56771,-0.0938684,silty mudstone
2012.75,2013.32,8.86009,123.599,-13.6985,10.5224,14.714,70.6176,2.57382,-0.325097,muddy siltstone
2013.32,2013.71,8.87426,129.707,-13.7436,8.00624,10.0417,70.8622,2.57314,-0.186318,mudstone
2013.71,2014.72,8.86431,112.605,-13.7392,11.336,13.5426,70.7187,2.57246,-0.19064,muddy siltstone
2014.72,2016.05,8.88069,144.07,-13.6711,6.09207,4.62601,72.3983,2.51954,-0.0300889,mudstone
2016.05,2017.45,8.85025,91.7684,-13.6824,15.5765,18.2215,70.2381,2.56364,-0.214992,muddy siltstone
2017.45,2018.46,8.85346,106.992,-13.6262,12.5061,13.7682,70.6177,2.58738,0.263211,mudstone
2018.46,2019.67,8.85788,80.7557,-13.8184,26.2912,31.6014,70.0724,2.53989,0.122255,siltstone
2019.67,2021.51,8.86321,123.068,-13.6121,8.88923,5.50207,72.1911,2.47476,0.229268,mudstone
2021.51,2022.02,8.85929,100.402,-13.6558,12.2375,14.86,70.7502,2.57924,0.289763,muddy siltstone
2022.02,2023.73,8.8611,95.322,-13.6052,10.1149,13.4663,70.6947,2.56907,0.219256,silty mudstone
2023.73,2024.75,8.86984,132.069,-13.5242,7.84724,4.32071,72.5343,2.527,0.2707,mudstone
2024.75,2026.08,8.85849,68.4984,-13.8028,22.0399,33.8579,70.2041,2.51954,0.0506603,siltstone
2026.08,2026.96,8.85406,88.1705,-13.4714,16.7157,9.04613,71.7252,2.51547,0.241357,mudstone
2026.96,2027.78,8.8609,106.944,-13.4134,10.2338,11.7374,70.7891,2.52565,0.259072,silty mudstone
2027.78,2028.73,8.85225,114.172,-13.3631,6.68022,7.44002,71.2038,2.5711,0.256127,mudstone
2028.73,2029.94,8.85648,104.476,-13.4667,9.83396,11.89,70.7963,2.53786,0.287761,silty mudstone
2029.94,2030.95,8.85497,72.34,-13.9048,20.1535,30.649,70.4853,2.49104,0.167275,siltstone
2030.95,2033.42,8.8619,95.6051,-13.3287,15.6706,9.51735,71.0543,2.50733,0.135131,mudstone
2033.42,2034.18,8.85045,101.341,-13.1408,9.33381,11.4785,70.4448,2.55346,0.0682031,silty mudstone
2034.18,2034.75,8.85215,103.856,-13.0991,8.7997,9.74632,70.8105,2.58128,0.0697468,mudstone
2034.75,2035.44,8.83457,112.132,-13.047,9.40636,10.0848,70.8039,2.5616,0.0124214,silty mudstone
2035.44,2037.03,8.84321,97.5807,-13.0036,7.48448,6.93231,71.1282,2.56771,-0.090722,mudstone
2037.03,2037.59,8.84844,78.5954,-13.1047,11.7157,13.828,70.5048,2.565,-0.0784813,muddy siltstone
2037.59,2039.68,8.84361,95.4242,-12.9609,8.25169,7.68227,70.9772,2.57924,-0.0722478,mudstone
2039.68,2040.44,8.84321,86.5852,-12.9928,9.71047,12.3944,70.5256,2.56771,-0.0610582,silty mudstone
2040.44,2041.52,8.84944,103.755,-13.0735,7.47676,6.95221,71.1444,2.57246,-0.0250191,mudstone
2041.52,2042.34,8.84834,97.5118,-13.1143,15.189,18.3808,70.1756,2.57449,-0.509992,muddy siltstone
2042.34,2043.1,8.84201,121.183,-13.1138,8.33813,5.11381,71.9015,2.55821,-0.0806965,mudstone
2043.1,2043.8,8.85045,112.52,-13.11,10.5688,11.5283,70.4778,2.56228,-0.17505,muddy siltstone
2043.8,2044.43,8.84572,113.716,-13.1165,8.25941,8.56164,70.8451,2.56974,-0.0133575,mudstone
2044.43,2045.38,8.84432,99.9613,-13.1157,12.3178,15.0326,70.1081,2.57382,-0.0827349,muddy siltstone
2045.38,2047.53,8.83839,98.5273,-13.1026,6.22792,3.11613,72.6162,2.53854,-0.113726,mudstone
2047.53,2048.16,8.83326,95.6815,-13.1042,11.0874,9.14569,70.9201,2.57653,0.0251536,muddy siltstone
2048.16,2051.07,8.83196,95.6815,-13.1055,8.0649,3.33846,72.4044,2.53243,-0.199801,mudstone
2051.07,2051.76,8.83839,95.6815,-13.1082,8.43539,7.73868,72.8955,2.57517,-0.139602,silty mudstone
2051.76,2052.33,8.8409,95.6815,-13.1147,6.93184,5.60826,72.884,2.55957,0.0185143,mudstone
2052.33,2052.89,8.8402,95.6815,-13.1131,6.48417,6.6071,72.8802,2.55753,-0.0697006,mudstone
2052.89,2053.33,8.8407,95.6815,-13.1113,8.09886,6.66683,72.889,2.55957,-0.00702552,mudstone
2053.33,2053.77,8.83839,95.6815,-13.1114,14.0143,18.8653,72.8805,2.58128,0.0090382,muddy siltstone
2053.77,2055.66,8.83146,95.6815,-13.1101,8.48633,4.01874,72.8779,2.54329,0.239413,mudstone
2055.66,2056.16,8.82965,95.6815,-13.112,13.1313,14.5049,72.8779,2.54532,-0.0808211,muddy siltstone
