,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR0
1714,7155.5,21.635,0.043578,2.792,0,1,0.12013,0.052071,4.8013
1715,7156,21.311,0.046356,2.752,0,1,0.11787,0.07574,6.2791
1716,7156.5,19.904,0.049133,2.702,0,1,0.1082,0.10533,8.2181
1717,7157,18.988,0.052422,2.653,0,1,0.10201,0.13432,10.196
1718,7157.5,18.936,0.055821,2.634,0,1,0.10166,0.14556,11.024
1719,7158,18.872,0.055434,2.659,0,1,0.10123,0.13077,10.043
1720,7158.5,18.827,0.052066,2.688,0,1,0.10093,0.11361,8.8368
1721,7159,17.409,0.04911,2.695,0,1,0.09155,0.10947,8.4838
1722,7159.5,15.453,0.04688,2.692,0,1,0.078943,0.11124,8.536
1723,7160,14.092,0.046787,2.66,0,1,0.070394,0.13018,9.7814
1724,7160.5,12.315,0.046955,2.62,0,1,0.0595,0.15385,11.374
1725,7161,13.031,0.046961,2.631,0,1,0.063853,0.14734,10.935
1726,7161.5,15.757,0.046667,2.693,0,1,0.080877,0.11065,8.4916
1727,7162,19.314,0.046667,2.768,0,1,0.1042,0.066272,5.7314
1728,7162.5,24.466,0.047463,2.76,0,1,0.14035,0.071006,6.0393
1729,7163,24.829,0.049055,2.724,0,1,0.14301,0.092308,7.3916
1730,7163.5,22.741,0.051841,2.683,0,1,0.12793,0.11657,9.021
1731,7164,19.613,0.053831,2.605,0,1,0.10622,0.16272,12.119
1732,7164.5,9.885,0.05505,2.531,0,1,0.045081,0.20651,15.112
1733,7165,6.273,0.054192,2.553,0,1,0.024629,0.19349,14.208
1734,7165.5,4.976,0.054748,2.616,0,1,0.017561,0.15621,11.705
1735,7166,4.672,0.056997,2.65,0,1,0.015925,0.13609,10.433
1736,7166.5,7.705,0.057816,2.628,0,1,0.032601,0.14911,11.309
1737,7167,17.302,0.057402,2.614,0,1,0.090851,0.1574,11.847
1738,7167.5,38.098,NaN,2.652,0,1,0.2512,0.13491,NaN
1739,7168,53.324,NaN,2.692,0,1,0.40616,0.11124,NaN
1740,7168.5,68.882,NaN,2.696,0,1,0.60726,0.10888,NaN
1741,7169,84.075,NaN,2.668,0,1,0.85655,0.12544,NaN
1742,7169.5,90.941,NaN,2.644,0,1,0.99,0.13964,NaN
1743,7170,86.257,NaN,2.634,0,1,0.89743,0.14556,NaN
1744,7170.5,60.533,NaN,2.649,0,1,0.49333,0.13669,NaN
1745,7171,33.869,NaN,2.683,0,1,0.21427,0.11657,NaN
1746,7171.5,19.624,0.039949,2.699,0,1,0.1063,0.1071,8.0829
1747,7172,13.66,0.043048,2.697,0,1,0.067718,0.10828,8.2397
1748,7172.5,10.256,0.046269,2.695,0,1,0.047248,0.10947,8.4035
1749,7173,9.619,0.050107,2.699,0,1,0.043536,0.1071,8.361
1750,7173.5,12.081,0.051172,2.705,0,1,0.058088,0.10355,8.1674
1751,7174,16.251,0.051508,2.707,0,1,0.08404,0.10237,8.1031
1752,7174.5,22.04,0.051841,2.703,0,1,0.12297,0.10473,8.2634
1753,7175,23.911,0.054209,2.697,0,1,0.13632,0.10828,8.5627
1754,7175.5,22.406,0.055731,2.695,0,1,0.12555,0.10947,8.6859
1755,7176,21.06,0.059005,2.694,0,1,0.11613,0.11006,8.8302
1756,7176.5,19.044,0.065373,2.695,0,1,0.10239,0.10947,9.0158
1757,7177,18.189,0.069037,2.699,0,1,0.096686,0.1071,9.0102
1758,7177.5,15.662,0.070568,2.7,0,1,0.080272,0.10651,9.0344
1759,7178,12.402,0.070506,2.695,0,1,0.060027,0.10947,9.2071
1760,7178.5,9.86,0.064975,2.691,0,1,0.044936,0.11183,9.1457
1761,7179,9.615,0.060995,2.686,0,1,0.043513,0.11479,9.1918
1762,7179.5,10.592,0.057413,2.686,0,1,0.049221,0.11479,9.0757
1763,7180,11.92,0.049363,2.691,0,1,0.057119,0.11183,8.644
1764,7180.5,12.257,0.04748,2.702,0,1,0.05915,0.10533,8.1694
1765,7181,12.054,0.046629,2.721,0,1,0.057925,0.094083,7.4249
1766,7181.5,12.056,0.045481,2.734,0,1,0.057937,0.086391,6.9036
1767,7182,12.341,0.045704,2.729,0,1,0.059657,0.089349,7.0965
1768,7182.5,12.624,0.046997,2.653,0,1,0.061373,0.13432,10.062
1769,7183,12.861,0.048254,2.513,0,1,0.062815,0.21716,15.73
1770,7183.5,11.522,0.047904,2.4,0,1,0.054735,0.28402,20.367
1771,7184,7.97,0.04754,2.343,0,1,0.034096,0.31775,22.719
1772,7184.5,5.867,0.047192,2.361,0,1,0.022401,0.3071,21.97
1773,7185,3.922,0.048031,2.463,0,1,0.011921,0.24675,17.775
1774,7185.5,3.295,0.049607,2.557,0,1,0.0086088,0.19112,13.962
1775,7186,3.698,0.052834,2.665,0,1,0.010734,0.12722,9.7407
1776,7186.5,4.076,0.05502,2.717,0,1,0.012739,0.09645,7.8517
1777,7187,4.456,0.055423,2.694,0,1,0.014767,0.11006,8.7134
1778,7187.5,4.845,0.054627,2.657,0,1,0.016855,0.13195,10.098
1779,7188,5.466,0.048707,2.643,0,1,0.020215,0.14024,10.497
1780,7188.5,6.098,0.044008,2.731,0,1,0.023667,0.088166,6.9677
1781,7189,6.727,0.041891,2.767,0,1,0.027138,0.066864,5.5792
1782,7189.5,7.185,0.041891,2.771,0,1,0.029686,0.064497,5.4381
1783,7190,7.027,0.043881,2.778,0,1,0.028805,0.060355,5.2765
1784,7190.5,6.406,0.045009,2.791,0,1,0.025362,0.052663,4.8985
1785,7191,5.222,0.045278,2.752,0,1,0.018891,0.07574,6.2396
1786,7191.5,4.604,0.044935,2.722,0,1,0.01556,0.093491,7.3348
1787,7192,4.95,0.045177,2.721,0,1,0.017421,0.094083,7.3799
1788,7192.5,5.753,0.047463,2.722,0,1,0.021778,0.093491,7.4139
1789,7193,5.87,0.053831,2.692,0,1,0.022418,0.11124,8.7386
1790,7193.5,5.964,0.057811,2.672,0,1,0.022933,0.12308,9.6151
1791,7194,6.247,0.056966,2.665,0,1,0.024486,0.12722,9.8564
1792,7194.5,6.922,0.05196,2.663,0,1,0.02822,0.1284,9.7947
1793,7195,7.201,0.049444,2.645,0,1,0.029775,0.13905,10.436
1794,7195.5,7.212,0.048023,2.64,0,1,0.029836,0.14201,10.6
1795,7196,6.587,0.047065,2.659,0,1,0.026362,0.13077,9.8274
1796,7196.5,5.465,0.049366,2.693,0,1,0.020209,0.11065,8.5676
1797,7197,4.91,0.054627,2.705,0,1,0.017205,0.10355,8.2785
1798,7197.5,4.649,0.059801,2.697,0,1,0.015801,0.10828,8.7469
