,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR6
1,6299,19.937,0.12866,2.71,0,2,0.10842,0,5.7823
2,6299.5,19.329,0.1269,2.692,0,2,0.1043,0.011842,6.3114
3,6300,18.723,0.12514,2.674,0,2,0.10024,0.023684,6.8398
4,6300.5,17.65,0.12338,2.645,0,2,0.09313,0.042763,7.7482
5,6301,16.375,0.12348,2.631,0,2,0.084838,0.051974,8.2638
6,6301.5,15.522,0.12217,2.628,0,2,0.079381,0.053947,8.3295
7,6302,15.597,0.12229,2.626,0,2,0.079858,0.055263,8.3984
8,6302.5,15.743,0.12229,2.622,0,2,0.080788,0.057895,8.5244
9,6303,15.882,0.12219,2.642,0,2,0.081675,0.044737,7.8565
10,6303.5,16.332,0.12205,2.667,0,2,0.084561,0.028289,7.0098
11,6304,17.572,0.12192,2.683,0,2,0.092618,0.017763,6.4282
12,6304.5,19.431,0.12178,2.681,0,2,0.10499,0.019079,6.4128
13,6305,19.726,0.12164,2.679,0,2,0.10699,0.020395,6.4597
14,6305.5,19.944,0.12149,2.681,0,2,0.10847,0.019079,6.3778
15,6306,20.168,0.12255,2.681,0,2,0.11,0.019079,6.4217
16,6306.5,20.383,0.1244,2.678,0,2,0.11147,0.021053,6.6039
17,6307,21.083,0.12627,2.672,0,2,0.11629,0.025,6.8657
18,6307.5,21.582,0.12517,2.663,0,2,0.11976,0.030921,7.0862
19,6308,21.912,0.12333,2.662,0,2,0.12207,0.031579,7.0129
20,6308.5,22.242,0.12234,2.664,0,2,0.12439,0.030263,6.8836
21,6309,22.549,0.12149,2.671,0,2,0.12656,0.025658,6.598
22,6309.5,22.43,0.12064,2.675,0,2,0.12572,0.023026,6.4289
23,6310,20.609,0.1205,2.677,0,2,0.11302,0.021711,6.4325
24,6310.5,18.521,0.12036,2.679,0,2,0.09889,0.020395,6.4444
25,6311,17.262,0.12062,2.686,0,2,0.09059,0.015789,6.2771
26,6311.5,16.895,0.12129,2.694,0,2,0.0882,0.010526,6.0615
27,6312,16.892,0.12236,2.696,0,2,0.088181,0.0092105,6.0494
28,6312.5,16.969,0.1236,2.696,0,2,0.088681,0.0092105,6.1084
29,6313,17.585,0.12461,2.689,0,2,0.092704,0.013816,6.3653
30,6313.5,18.506,0.12414,2.681,0,2,0.09879,0.019079,6.5683
