,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR12
1,6299,19.937,0.12866,2.71,0,2,0.10842,0,5.1318
2,6299.5,19.329,0.1269,2.692,0,2,0.1043,0.011842,5.6855
3,6300,18.723,0.12514,2.674,0,2,0.10024,0.023684,6.2383
4,6300.5,17.65,0.12338,2.645,0,2,0.09313,0.042763,7.1894
5,6301,16.375,0.12348,2.631,0,2,0.084838,0.051974,7.7548
6,6301.5,15.522,0.12217,2.628,0,2,0.079381,0.053947,7.8533
7,6302,15.597,0.12229,2.626,0,2,0.079858,0.055263,7.9193
8,6302.5,15.743,0.12229,2.622,0,2,0.080788,0.057895,8.0397
9,6303,15.882,0.12219,2.642,0,2,0.081675,0.044737,7.3664
10,6303.5,16.332,0.12205,2.667,0,2,0.084561,0.028289,6.5025
11,6304,17.572,0.12192,2.683,0,2,0.092618,0.017763,5.8725
12,6304.5,19.431,0.12178,2.681,0,2,0.10499,0.019079,5.7829
13,6305,19.726,0.12164,2.679,0,2,0.10699,0.020395,5.8178
14,6305.5,19.944,0.12149,2.681,0,2,0.10847,0.019079,5.7269
15,6306,20.168,0.12255,2.681,0,2,0.11,0.019079,5.7617
16,6306.5,20.383,0.1244,2.678,0,2,0.11147,0.021053,5.9351
17,6307,21.083,0.12627,2.672,0,2,0.11629,0.025,6.1679
18,6307.5,21.582,0.12517,2.663,0,2,0.11976,0.030921,6.3676
19,6308,21.912,0.12333,2.662,0,2,0.12207,0.031579,6.2805
20,6308.5,22.242,0.12234,2.664,0,2,0.12439,0.030263,6.1373
21,6309,22.549,0.12149,2.671,0,2,0.12656,0.025658,5.8386
22,6309.5,22.43,0.12064,2.675,0,2,0.12572,0.023026,5.6746
23,6310,20.609,0.1205,2.677,0,2,0.11302,0.021711,5.7543
24,6310.5,18.521,0.12036,2.679,0,2,0.09889,0.020395,5.8511
25,6311,17.262,0.12062,2.686,0,2,0.09059,0.015789,5.7335
26,6311.5,16.895,0.12129,2.694,0,2,0.0882,0.010526,5.5323
27,6312,16.892,0.12236,2.696,0,2,0.088181,0.0092105,5.5203
28,6312.5,16.969,0.1236,2.696,0,2,0.088681,0.0092105,5.5763
29,6313,17.585,0.12461,2.689,0,2,0.092704,0.013816,5.8091
30,6313.5,18.506,0.12414,2.681,0,2,0.09879,0.019079,5.9755
31,6314,18.712,0.12367,2.682,0,2,0.10016,0.018421,5.9024
32,6314.5,18.881,0.12319,2.686,0,2,0.10129,0.015789,5.7336
33,6315,19.046,0.12219,2.685,0,2,0.1024,0.016447,5.7031
34,6315.5,17.918,0.12284,2.681,0,2,0.094894,0.019079,5.9574
35,6316,15.706,0.12344,2.685,0,2,0.080552,0.016447,6.0277
36,6316.5,14.219,0.12403,2.695,0,2,0.071184,0.0098684,5.8406
37,6317,14.299,0.12507,2.7,0,2,0.071683,0.0065789,5.7225
38,6317.5,16.059,0.1277,2.697,0,2,0.082808,0.0085526,5.819
39,6318,16.987,0.12769,2.688,0,2,0.088798,0.014474,6.0428
40,6318.5,16.674,0.12456,2.681,0,2,0.086768,0.019079,6.1405
41,6319,15.467,0.12174,2.68,0,2,0.079032,0.019737,6.1254
42,6319.5,14.846,0.11813,2.687,0,2,0.075108,0.015132,5.762
43,6320,15.676,0.11817,2.685,0,2,0.080361,0.016447,5.7665
44,6320.5,16.558,0.11845,2.675,0,2,0.086018,0.023026,6.0416
45,6321,17.345,0.11862,2.655,0,2,0.091132,0.036184,6.6467
46,6321.5,19.245,0.11787,2.636,0,2,0.10374,0.048684,7.0831
47,6322,21.778,0.11713,2.624,0,2,0.12113,0.056579,7.2319
48,6322.5,24.252,0.11638,2.632,0,2,0.13879,0.051316,6.7192
49,6323,29.788,0.11634,2.645,0,2,0.18086,0.042763,5.785
50,6323.5,37.033,NaN,2.615,0,2,0.24167,0.0625,NaN
51,6324,50.838,NaN,2.544,0,2,0.3783,0.10921,NaN
52,6324.5,50.716,NaN,2.528,0,2,0.37696,0.11974,NaN
53,6325,38.744,NaN,2.553,0,2,0.25706,0.10329,NaN
54,6325.5,23.525,0.1203,2.606,0,2,0.13353,0.068421,7.8336
55,6326,17.927,0.11814,2.654,0,2,0.094954,0.036842,6.6099
56,6326.5,16.721,0.11806,2.682,0,2,0.087072,0.018421,5.779
57,6327,16.493,0.12088,2.697,0,2,0.085599,0.0085526,5.4444
58,6327.5,17.186,0.12229,2.7,0,2,0.090094,0.0065789,5.3623
59,6328,17.867,0.12591,2.697,0,2,0.094558,0.0085526,5.5885
60,6328.5,18.402,0.12657,2.688,0,2,0.098099,0.014474,5.8749
61,6329,18.631,0.12641,2.68,0,2,0.099623,0.019737,6.1117
62,6329.5,18.699,0.12604,2.673,0,2,0.10008,0.024342,6.3183
63,6330,18.203,0.12469,2.67,0,2,0.096778,0.026316,6.3889
64,6330.5,17.342,0.12245,2.669,0,2,0.091112,0.026974,6.3781
65,6331,15.926,0.11834,2.673,0,2,0.081957,0.024342,6.1505
66,6331.5,14.697,0.11789,2.683,0,2,0.074172,0.017763,5.8924
67,6332,14.897,0.11852,2.683,0,2,0.075429,0.017763,5.9091
68,6332.5,20.122,0.1196,2.67,0,2,0.10968,0.026316,5.9794
69,6333,29.287,0.12066,2.64,0,2,0.1769,0.046053,6.2129
70,6333.5,38.385,NaN,2.604,0,2,0.2538,0.069737,NaN
71,6334,43.365,NaN,2.586,0,2,0.30072,0.081579,NaN
72,6334.5,36.79,NaN,2.604,0,2,0.23952,0.069737,NaN
73,6335,26.946,0.12163,2.632,0,2,0.15881,0.051316,6.7416
74,6335.5,21.562,0.11889,2.661,0,2,0.11962,0.032237,6.1209
75,6336,18.591,0.11689,2.673,0,2,0.099356,0.024342,5.8693
76,6336.5,19.454,0.11351,2.675,0,2,0.10515,0.023026,5.5649
77,6337,19.003,0.11068,2.673,0,2,0.10211,0.024342,5.5259
78,6337.5,18.126,0.10805,2.668,0,2,0.096268,0.027632,5.6289
79,6338,15.815,0.10762,2.662,0,2,0.081248,0.031579,5.985
