,starttime,resolution,speed,volume,occupancy
354,2014-02-01T14:40:00,0:05:00,63.09,173,14.93
356,2014-02-01T14:45:00,0:05:00,61.27,131,13.33
357,2014-02-01T14:50:00,0:05:00,63.66,123,10
359,2014-02-01T14:55:00,0:05:00,60.45,123,13.17
362,2014-02-01T15:00:00,0:05:00,64.3,146,11.4
364,2014-02-01T15:05:00,0:05:00,61.9,112,12.25
366,2014-02-01T15:10:00,0:05:00,62.71,158,12.93
368,2014-02-01T15:15:00,0:05:00,61.7,118,13.08
369,2014-02-01T15:20:00,0:05:00,60.35,153,13
371,2014-02-01T15:25:00,0:05:00,61.66,148,14.75
373,2014-02-01T15:30:00,0:05:00,61.88,169,13.93
375,2014-02-01T15:35:00,0:05:00,62.5,140,15.75
378,2014-02-01T15:40:00,0:05:00,61.31,150,12.13
380,2014-02-01T15:45:00,0:05:00,61.16,147,16.5
381,2014-02-01T15:50:00,0:05:00,62.41,150,12.73
384,2014-02-01T15:55:00,0:05:00,61.36,159,16.17
386,2014-02-01T16:00:00,0:05:00,63.86,165,13.93
387,2014-02-01T16:05:00,0:05:00,58.08,159,18.42
390,2014-02-01T16:10:00,0:05:00,61.01,175,15.87
391,2014-02-01T16:15:00,0:05:00,59.99,146,15.5
400,2014-02-01T16:35:00,0:05:00,61.65,NA,13.5
413,2014-02-01T17:10:00,0:05:00,61.11,94,NA
421,2014-02-01T17:30:00,0:05:00,60.25,89,12
423,2014-02-01T17:35:00,0:05:00,57.34,134,15.25
425,2014-02-01T17:40:00,0:05:00,60.46,136,12.27
428,2014-02-01T17:45:00,0:05:00,61.24,113,11.08
429,2014-02-01T17:50:00,0:05:00,58.57,81,11.78
432,2014-02-01T17:55:00,0:05:00,60.31,111,11.75
433,2014-02-01T18:00:00,0:05:00,60.84,91,8.4
442,2014-02-01T18:20:00,0:05:00,61.12,NA,12.4
456,2014-02-01T20:15:00,0:05:00,58.33,3,NA
469,2014-02-01T21:35:00,0:05:00,64.45,NA,1.25
478,2014-02-01T21:55:00,0:05:00,63.22,23,2.08
480,2014-02-01T22:00:00,0:05:00,65.67,12,0.53
481,2014-02-01T22:05:00,0:05:00,65.6,20,1.33
484,2014-02-01T22:10:00,0:05:00,64.62,13,0.73
486,2014-02-01T22:15:00,0:05:00,63.26,23,2.25
487,2014-02-01T22:20:00,0:05:00,67.71,7,0.2
490,2014-02-01T22:25:00,0:05:00,66,20,1.5
492,2014-02-01T22:30:00,0:05:00,63.13,15,0.6
494,2014-02-01T22:35:00,0:05:00,60.86,7,0.42
496,2014-02-01T22:40:00,0:05:00,61.53,17,0.93
498,2014-02-01T22:45:00,0:05:00,71.17,12,0.67
499,2014-02-01T22:50:00,0:05:00,62.75,8,0.27
502,2014-02-01T22:55:00,0:05:00,63,7,0.5
504,2014-02-01T23:00:00,0:05:00,67,6,0.13
506,2014-02-01T23:05:00,0:05:00,65.18,11,0.83
508,2014-02-01T23:10:00,0:05:00,63.5,8,0.2
510,2014-02-01T23:15:00,0:05:00,72,2,0
511,2014-02-01T23:20:00,0:05:00,67.43,7,0.2
513,2014-02-01T23:25:00,0:05:00,63.36,11,0.67
516,2014-02-01T23:30:00,0:05:00,63.32,19,0.93
518,2014-02-01T23:35:00,0:05:00,63.25,12,1
520,2014-02-01T23:40:00,0:05:00,63.82,17,1.13
521,2014-02-01T23:45:00,0:05:00,65.64,11,1.17
523,2014-02-01T23:50:00,0:05:00,59.25,4,0.2
526,2014-02-01T23:55:00,0:05:00,65.86,7,0.25
527,2014-02-02T00:00:00,0:05:00,66.33,9,0.53
529,2014-02-02T00:05:00,0:05:00,60,1,0
532,2014-02-02T00:10:00,0:05:00,63.25,8,0.8
533,2014-02-02T00:15:00,0:05:00,60,2,0
535,2014-02-02T00:20:00,0:05:00,62,4,0.13
538,2014-02-02T00:25:00,0:05:00,72,1,0.08
539,2014-02-02T00:30:00,0:05:00,61.6,5,0.33
542,2014-02-02T00:35:00,0:05:00,NA,0,0
543,2014-02-02T00:40:00,0:05:00,66,6,0.4
546,2014-02-02T00:45:00,0:05:00,64,6,0.67
548,2014-02-02T00:50:00,0:05:00,64.13,8,0
550,2014-02-02T00:55:00,0:05:00,58,1,0.08
551,2014-02-02T01:00:00,0:05:00,62.22,9,0.6
554,2014-02-02T01:05:00,0:05:00,57,2,0.17
555,2014-02-02T01:10:00,0:05:00,NA,0,0
558,2014-02-02T01:15:00,0:05:00,57,3,0.25
559,2014-02-02T01:20:00,0:05:00,56.5,4,0.27
561,2014-02-02T01:25:00,0:05:00,NA,0,0
564,2014-02-02T01:30:00,0:05:00,NA,0,0
565,2014-02-02T01:35:00,0:05:00,58,4,0.33
567,2014-02-02T01:40:00,0:05:00,64.5,12,0.6
570,2014-02-02T01:45:00,0:05:00,64,4,0.33
572,2014-02-02T01:50:00,0:05:00,72,2,0
574,2014-02-02T01:55:00,0:05:00,NA,0,0
576,2014-02-02T02:00:00,0:05:00,NA,0,0
578,2014-02-02T02:05:00,0:05:00,62,2,0.17
579,2014-02-02T02:10:00,0:05:00,63.5,4,0.13
582,2014-02-02T02:15:00,0:05:00,NA,0,0
583,2014-02-02T02:20:00,0:05:00,58,6,0.4
586,2014-02-02T02:25:00,0:05:00,61.89,9,1.5
588,2014-02-02T02:30:00,0:05:00,67.33,3,0
590,2014-02-02T02:35:00,0:05:00,67,2,0.33
592,2014-02-02T02:40:00,0:05:00,57,2,0.13
594,2014-02-02T02:45:00,0:05:00,62,1,0.08
596,2014-02-02T02:50:00,0:05:00,58.25,4,0.27
597,2014-02-02T02:55:00,0:05:00,57,4,0.33
600,2014-02-02T03:00:00,0:05:00,NA,0,0
601,2014-02-02T03:05:00,0:05:00,63,5,0.33
603,2014-02-02T03:10:00,0:05:00,65.14,7,0.33
606,2014-02-02T03:15:00,0:05:00,59,2,0.13
608,2014-02-02T03:20:00,0:05:00,55.43,7,0.4
610,2014-02-02T03:25:00,0:05:00,58,1,0.08
612,2014-02-02T03:30:00,0:05:00,62,4,0.13
613,2014-02-02T03:35:00,0:05:00,60.67,9,0.33
615,2014-02-02T03:40:00,0:05:00,60.67,6,0.2
618,2014-02-02T03:45:00,0:05:00,63,6,0.25
620,2014-02-02T03:50:00,0:05:00,53.73,11,0.4
622,2014-02-02T03:55:00,0:05:00,63.6,5,0.42
624,2014-02-02T04:00:00,0:05:00,61.13,8,0.53
625,2014-02-02T04:05:00,0:05:00,66.67,6,0.17
627,2014-02-02T04:10:00,0:05:00,61.64,11,0.4
629,2014-02-02T04:15:00,0:05:00,62,17,0.93
631,2014-02-02T04:20:00,0:05:00,66.06,17,0.87
634,2014-02-02T04:25:00,0:05:00,64.88,24,1.75
636,2014-02-02T04:30:00,0:05:00,64.55,33,1.87
638,2014-02-02T04:35:00,0:05:00,66.95,41,3.5
640,2014-02-02T04:40:00,0:05:00,65.18,50,3.47
641,2014-02-02T04:45:00,0:05:00,65.84,37,3.08
643,2014-02-02T04:50:00,0:05:00,65.89,18,0.73
645,2014-02-02T04:55:00,0:05:00,67.12,25,1.17
647,2014-02-02T05:00:00,0:05:00,64.03,30,2
650,2014-02-02T05:05:00,0:05:00,64.19,31,2.42
652,2014-02-02T05:10:00,0:05:00,67.15,27,2.78
654,2014-02-02T05:15:00,0:05:00,63.24,66,4.67
656,2014-02-02T05:20:00,0:05:00,64.67,86,6.2
658,2014-02-02T05:25:00,0:05:00,64.23,80,6
665,2014-02-02T05:45:00,0:05:00,62.96,NA,13.42
673,2014-02-02T06:05:00,0:05:00,61.54,109,11.33
676,2014-02-02T06:10:00,0:05:00,57.11,188,16.67
677,2014-02-02T06:15:00,0:05:00,53.47,210,21.07
680,2014-02-02T06:20:00,0:05:00,37.22,162,24.67
682,2014-02-02T06:25:00,0:05:00,42.53,142,23
683,2014-02-02T06:30:00,0:05:00,43.57,178,22
686,2014-02-02T06:35:00,0:05:00,35.76,132,26.08
687,2014-02-02T06:40:00,0:05:00,30.13,149,27.67
690,2014-02-02T06:45:00,0:05:00,25.06,96,29.5
692,2014-02-02T06:50:00,0:05:00,50.54,154,16.93
693,2014-02-02T06:55:00,0:05:00,53.98,150,18.17
695,2014-02-02T07:00:00,0:05:00,52.67,157,18.2
698,2014-02-02T07:05:00,0:05:00,26.32,120,31.4
699,2014-02-02T07:10:00,0:05:00,34.39,151,28.67
708,2014-02-02T07:30:00,0:05:00,NA,152,27.93
715,2014-02-02T07:50:00,0:05:00,31.46,139,28.4
717,2014-02-02T07:55:00,0:05:00,30.76,80,31.89
720,2014-02-02T08:00:00,0:05:00,37.13,147,28.33
721,2014-02-02T08:05:00,0:05:00,32.73,133,31.47
723,2014-02-02T08:10:00,0:05:00,44.19,104,20.56
725,2014-02-02T08:15:00,0:05:00,38.29,143,28.27
728,2014-02-02T08:20:00,0:05:00,30.74,74,32.56
735,2014-02-02T08:40:00,0:05:00,28.76,NA,37.33
744,2014-02-02T09:00:00,0:05:00,33.41,157,28.93
746,2014-02-02T09:05:00,0:05:00,55.84,122,16.33
747,2014-02-02T09:10:00,0:05:00,59.13,164,14.27
750,2014-02-02T09:15:00,0:05:00,62.23,148,12.4
752,2014-02-02T09:20:00,0:05:00,61.64,146,11.27
753,2014-02-02T09:25:00,0:05:00,59.93,152,15.47
756,2014-02-02T09:30:00,0:05:00,61.34,142,12.67
764,2014-02-02T09:50:00,0:05:00,NA,149,13.47
772,2014-02-02T10:10:00,0:05:00,63.43,116,9.4
773,2014-02-02T10:15:00,0:05:00,62.63,90,7.4
775,2014-02-02T10:20:00,0:05:00,61.53,122,11.8
777,2014-02-02T10:25:00,0:05:00,63.14,123,9.93
779,2014-02-02T10:30:00,0:05:00,63.36,107,8.87
782,2014-02-02T10:35:00,0:05:00,62.93,73,10.11
783,2014-02-02T10:40:00,0:05:00,60.43,139,13.13
786,2014-02-02T10:45:00,0:05:00,63.38,93,7.47
788,2014-02-02T10:50:00,0:05:00,62.79,127,11.27
790,2014-02-02T10:55:00,0:05:00,62.7,71,6.92
791,2014-02-02T11:00:00,0:05:00,62.8,130,10.67
794,2014-02-02T11:05:00,0:05:00,65.26,89,6.73
795,2014-02-02T11:10:00,0:05:00,61.02,133,12.93
798,2014-02-02T11:15:00,0:05:00,63.55,100,8.13
800,2014-02-02T11:20:00,0:05:00,62.47,92,6.8
801,2014-02-02T11:25:00,0:05:00,62.23,97,8.4
804,2014-02-02T11:30:00,0:05:00,64.01,117,9.33
806,2014-02-02T11:35:00,0:05:00,62.5,96,10.83
808,2014-02-02T11:40:00,0:05:00,63.27,104,8
810,2014-02-02T11:45:00,0:05:00,64,32,3
812,2014-02-02T11:50:00,0:05:00,63.33,85,7.07
813,2014-02-02T11:55:00,0:05:00,62.87,119,9.67
816,2014-02-02T12:00:00,0:05:00,61.68,68,9
817,2014-02-02T12:05:00,0:05:00,63.12,65,9.78
820,2014-02-02T12:10:00,0:05:00,63.18,80,6.73
821,2014-02-02T12:15:00,0:05:00,62.15,113,9.6
823,2014-02-02T12:20:00,0:05:00,61.76,70,11.56
826,2014-02-02T12:25:00,0:05:00,63.78,123,10.53
834,2014-02-02T12:45:00,0:05:00,61.63,NA,14.42
848,2014-02-02T13:20:00,0:05:00,NA,126,10.07
856,2014-02-02T13:40:00,0:05:00,59.34,76,6.27
858,2014-02-02T13:45:00,0:05:00,62.37,115,10.27
859,2014-02-02T13:50:00,0:05:00,62.1,83,6.87
862,2014-02-02T13:55:00,0:05:00,59.53,97,14.44
863,2014-02-02T14:00:00,0:05:00,62.93,147,12.4
865,2014-02-02T14:05:00,0:05:00,63.44,122,9.87
868,2014-02-02T14:10:00,0:05:00,61.59,136,12
870,2014-02-02T14:15:00,0:05:00,60.75,113,10
872,2014-02-02T14:20:00,0:05:00,62.8,110,8.73
873,2014-02-02T14:25:00,0:05:00,60.74,43,5.44
875,2014-02-02T14:30:00,0:05:00,62.52,102,8.2
878,2014-02-02T14:35:00,0:05:00,62.06,163,14.47
880,2014-02-02T14:40:00,0:05:00,63.59,107,8.93
882,2014-02-02T14:45:00,0:05:00,62.31,112,11.33
884,2014-02-02T14:50:00,0:05:00,62.03,151,13
885,2014-02-02T14:55:00,0:05:00,60.51,143,12.67
888,2014-02-02T15:00:00,0:05:00,62.35,171,14.27
890,2014-02-02T15:05:00,0:05:00,61.64,152,12.47
892,2014-02-02T15:10:00,0:05:00,64.15,132,9.87
893,2014-02-02T15:15:00,0:05:00,59.29,170,14.93
896,2014-02-02T15:20:00,0:05:00,58.58,174,15.27
898,2014-02-02T15:25:00,0:05:00,62.39,154,12.2
899,2014-02-02T15:30:00,0:05:00,61.67,172,15.13
902,2014-02-02T15:35:00,0:05:00,63.03,147,12.27
903,2014-02-02T15:40:00,0:05:00,62.34,160,12.67
906,2014-02-02T15:45:00,0:05:00,60.86,152,15.92
908,2014-02-02T15:50:00,0:05:00,60.96,150,13.2
910,2014-02-02T15:55:00,0:05:00,60.9,136,14.92
911,2014-02-02T16:00:00,0:05:00,62.55,141,12.07
913,2014-02-02T16:05:00,0:05:00,61.18,176,14.53
916,2014-02-02T16:10:00,0:05:00,61.73,116,15.89
918,2014-02-02T16:15:00,0:05:00,62.07,122,12.42
920,2014-02-02T16:20:00,0:05:00,58.68,151,16.5
921,2014-02-02T16:25:00,0:05:00,63.33,21,8.33
924,2014-02-02T16:30:00,0:05:00,62.29,31,13.33
925,2014-02-02T16:35:00,0:05:00,58.81,64,15.33
927,2014-02-02T16:45:00,0:05:00,61.86,88,12.33
929,2014-02-02T16:50:00,0:05:00,61.33,84,12.22
931,2014-02-02T16:55:00,0:05:00,59.7,107,12.08
934,2014-02-02T17:05:00,0:05:00,60.5,104,11.33
935,2014-02-02T17:10:00,0:05:00,58.89,56,11.83
938,2014-02-02T17:15:00,0:05:00,58.3,145,12.27
939,2014-02-02T17:20:00,0:05:00,57.71,34,15
941,2014-02-02T17:25:00,0:05:00,59.2,164,14.07
944,2014-02-02T17:30:00,0:05:00,58.09,33,14.33
946,2014-02-02T17:35:00,0:05:00,61.41,93,13.11
947,2014-02-02T17:40:00,0:05:00,59.99,127,10.8
949,2014-02-02T17:45:00,0:05:00,55.31,52,11
