,starttime,resolution,speed,volume,occupancy
214,2011-03-01T08:50:00,0:05:00,NA,NA,NA
216,2011-03-01T08:55:00,0:05:00,NA,NA,NA
218,2011-03-01T09:00:00,0:05:00,NA,NA,NA
220,2011-03-01T09:05:00,0:05:00,NA,NA,NA
222,2011-03-01T09:10:00,0:05:00,NA,NA,NA
224,2011-03-01T09:15:00,0:05:00,NA,NA,NA
226,2011-03-01T09:20:00,0:05:00,NA,NA,NA
228,2011-03-01T09:25:00,0:05:00,NA,NA,NA
230,2011-03-01T09:30:00,0:05:00,NA,NA,NA
232,2011-03-01T09:35:00,0:05:00,NA,NA,NA
234,2011-03-01T09:40:00,0:05:00,NA,NA,NA
236,2011-03-01T09:45:00,0:05:00,NA,NA,NA
238,2011-03-01T09:50:00,0:05:00,NA,NA,NA
240,2011-03-01T09:55:00,0:05:00,NA,NA,NA
242,2011-03-01T10:00:00,0:05:00,NA,NA,NA
244,2011-03-01T10:05:00,0:05:00,NA,NA,NA
246,2011-03-01T10:10:00,0:05:00,NA,NA,NA
248,2011-03-01T10:15:00,0:05:00,NA,NA,NA
250,2011-03-01T10:20:00,0:05:00,NA,NA,NA
252,2011-03-01T10:25:00,0:05:00,NA,NA,NA
254,2011-03-01T10:30:00,0:05:00,NA,NA,NA
256,2011-03-01T10:35:00,0:05:00,NA,NA,NA
258,2011-03-01T10:40:00,0:05:00,NA,NA,NA
260,2011-03-01T10:45:00,0:05:00,NA,NA,NA
262,2011-03-01T10:50:00,0:05:00,NA,NA,NA
264,2011-03-01T10:55:00,0:05:00,NA,NA,NA
266,2011-03-01T11:00:00,0:05:00,NA,NA,NA
268,2011-03-01T11:05:00,0:05:00,NA,NA,NA
270,2011-03-01T11:10:00,0:05:00,NA,NA,NA
272,2011-03-01T11:15:00,0:05:00,NA,NA,NA
274,2011-03-01T11:20:00,0:05:00,NA,NA,NA
276,2011-03-01T11:25:00,0:05:00,NA,NA,NA
278,2011-03-01T11:30:00,0:05:00,NA,NA,NA
280,2011-03-01T11:35:00,0:05:00,NA,NA,NA
282,2011-03-01T11:40:00,0:05:00,NA,NA,NA
284,2011-03-01T11:45:00,0:05:00,NA,NA,NA
286,2011-03-01T11:50:00,0:05:00,NA,NA,NA
288,2011-03-01T11:55:00,0:05:00,NA,NA,NA
290,2011-03-01T12:00:00,0:05:00,NA,NA,NA
292,2011-03-01T12:05:00,0:05:00,NA,NA,NA
294,2011-03-01T12:10:00,0:05:00,NA,NA,NA
296,2011-03-01T12:15:00,0:05:00,NA,NA,NA
298,2011-03-01T12:20:00,0:05:00,NA,NA,NA
300,2011-03-01T12:25:00,0:05:00,NA,NA,NA
302,2011-03-01T12:30:00,0:05:00,NA,NA,NA
304,2011-03-01T12:35:00,0:05:00,NA,NA,NA
306,2011-03-01T12:40:00,0:05:00,NA,NA,NA
308,2011-03-01T12:45:00,0:05:00,NA,NA,NA
310,2011-03-01T12:50:00,0:05:00,NA,NA,NA
312,2011-03-01T12:55:00,0:05:00,NA,NA,NA
314,2011-03-01T13:00:00,0:05:00,NA,NA,NA
316,2011-03-01T13:05:00,0:05:00,NA,NA,NA
318,2011-03-01T13:10:00,0:05:00,NA,NA,NA
320,2011-03-01T13:15:00,0:05:00,NA,NA,NA
322,2011-03-01T13:20:00,0:05:00,NA,NA,NA
324,2011-03-01T13:25:00,0:05:00,NA,NA,NA
326,2011-03-01T13:30:00,0:05:00,NA,NA,NA
328,2011-03-01T13:35:00,0:05:00,NA,NA,NA
330,2011-03-01T13:40:00,0:05:00,NA,NA,NA
332,2011-03-01T13:45:00,0:05:00,NA,NA,NA
334,2011-03-01T13:50:00,0:05:00,NA,NA,NA
336,2011-03-01T13:55:00,0:05:00,NA,NA,NA
338,2011-03-01T14:00:00,0:05:00,NA,NA,NA
340,2011-03-01T14:05:00,0:05:00,NA,NA,NA
342,2011-03-01T14:10:00,0:05:00,NA,NA,NA
344,2011-03-01T14:15:00,0:05:00,NA,NA,NA
346,2011-03-01T14:20:00,0:05:00,NA,NA,NA
348,2011-03-01T14:25:00,0:05:00,NA,NA,NA
350,2011-03-01T14:30:00,0:05:00,NA,NA,NA
352,2011-03-01T14:35:00,0:05:00,NA,NA,NA
354,2011-03-01T14:40:00,0:05:00,NA,NA,NA
356,2011-03-01T14:45:00,0:05:00,NA,NA,NA
358,2011-03-01T14:50:00,0:05:00,NA,NA,NA
360,2011-03-01T14:55:00,0:05:00,NA,NA,NA
362,2011-03-01T15:00:00,0:05:00,NA,NA,NA
364,2011-03-01T15:05:00,0:05:00,NA,NA,NA
366,2011-03-01T15:10:00,0:05:00,NA,NA,NA
368,2011-03-01T15:15:00,0:05:00,NA,NA,NA
370,2011-03-01T15:20:00,0:05:00,NA,NA,NA
372,2011-03-01T15:25:00,0:05:00,NA,NA,NA
374,2011-03-01T15:30:00,0:05:00,NA,NA,NA
376,2011-03-01T15:35:00,0:05:00,NA,NA,NA
378,2011-03-01T15:40:00,0:05:00,NA,NA,NA
380,2011-03-01T15:45:00,0:05:00,NA,NA,NA
382,2011-03-01T15:50:00,0:05:00,NA,NA,NA
384,2011-03-01T15:55:00,0:05:00,NA,NA,NA
386,2011-03-01T16:00:00,0:05:00,NA,NA,NA
388,2011-03-01T16:05:00,0:05:00,NA,NA,NA
390,2011-03-01T16:10:00,0:05:00,NA,NA,NA
