AC,CAL,GR,K,RD,SP,Core Lithology,,1,coarse sandstone
0.209431751,0.111061986,0.082082668,0.223877592,0.014981439,0.418972822,3,,,
0.175842098,0.444115306,0.249553526,0.256694182,0.016088564,0.413857214,7,,,
0.236535386,0.147006809,0.076842904,0.268169921,0.017979918,0.087072385,3,,,
0.201229955,0.114422142,0.083126818,0.222266962,0.015717087,0.414860053,3,,,
0.228751536,0.015341763,0.194263076,0.400040266,0.015284611,0.947305855,7,,,
0.22375504,0.139225396,0.079503677,0.280853634,0.019021295,0.098368414,3,,,
0.195557832,0.117207534,0.087535447,0.220052345,0.016070301,0.411034615,3,,,
0.209912546,0.055752056,0.193426235,0.475739883,0.016458215,0.380087439,4,,,
0.244875449,0.03143514,0.030921267,0.092409905,0.033645868,0.331556767,5,,,
0.246418392,0.054160403,0.018555042,0.06543185,0.018222091,0.101162843,3,,,
0.222045547,0.162039084,0.256073277,0.255083551,0.015672159,0.193790283,7,,,
0.307161959,0.384737819,0.253884177,0.495067445,0.016791338,0.319026908,2,,,
0.279316706,0.033557344,0.236919133,0.434266157,0.020616418,0.978765719,7,,,
0.292414439,0.49381024,0.231734524,0.553855446,0.018594298,0.320452292,7,,,
0.275954284,0.327968874,0.068997522,0.251459634,0.021066062,0.063792987,3,,,
0.223249105,0.112830489,0.244115963,0.398026978,0.017020726,0.211773786,2,,,
0.283480452,0.341851623,0.06472583,0.248439702,0.021030631,0.06432821,3,,,
0.2037502,0.05358564,0.181368121,0.314475539,0.018443808,0.395794835,3,,,
0.26320222,0.322000177,0.070009338,0.250050332,0.021488311,0.064176094,3,,,
0.231831137,0.075647714,0.025245965,0.056573384,0.018676848,0.078610222,3,,,
0.206383574,0.098549828,0.226074437,0.482383733,0.01785171,0.411637445,7,,,
0.186724404,0.315898842,0.302770894,0.427420978,0.024036781,0.434787263,7,,,
0.189291786,0.32858785,0.110084502,0.288705456,0.018680136,0.317832515,2,,,
0.24937858,0.360774604,0.318286683,0.437286088,0.01686914,0.55358994,7,,,
0.713160268,0.489167919,0.155397528,0.158445742,0.018943128,0.453875017,1,,,
0.205472263,0.127641701,0.195248266,0.474330582,0.019165941,0.130746608,1,,,
0.25177627,0.32085065,0.068154975,0.24541977,0.02183568,0.065409925,3,,,
0.222230951,0.110398797,0.253441032,0.607610228,0.018751363,0.163710732,1,,,
0.291943071,0.360155628,0.058938315,0.242399839,0.021933206,0.065742327,3,,,
0.186199615,0.064727208,0.11626381,0.292329374,0.020847997,0.373940821,3,,,
0.142422138,0.030550889,0.316816506,0.615663378,0.022672508,0.435908415,7,,,
0.217108757,0.111371474,0.250409386,0.596738474,0.018805057,0.150583675,1,,,
0.281045053,0.047970643,0.257178287,0.516408295,0.021781255,0.979836165,7,,,
0.177953825,0.054779379,0.114354292,0.284074894,0.021243582,0.373625321,3,,,
0.189716017,0.103015298,0.053822175,0.187437085,0.017213222,0.134357957,3,,,
0.17462597,0.029445574,0.129339447,0.237769277,0.021734136,0.373180241,3,,,
0.275332078,0.030948802,0.232744438,0.496678075,0.016748602,0.987622256,7,,,
0.20850787,0.264479618,0.101387064,0.234950674,0.021763722,0.107692568,3,,,
0.299594938,0.020028296,0.331824484,0.787396819,0.018216612,0.928882904,7,,,
0.276120834,0.029047661,0.237866284,0.419971814,0.028625269,0.975278316,7,,,
0.215254711,0.289636573,0.080232109,0.190457016,0.022411341,0.105208005,3,,,
0.195545262,0.139667521,0.190677974,0.462653513,0.020751567,0.131067742,1,,,
0.23373232,0.08776196,0.023172882,0.069659754,0.020858225,0.070914274,3,,,
0.179078822,0.190025643,0.296602997,0.44674854,0.026452659,0.435435165,7,,,
0.245296537,0.160049518,0.184310377,0.557479364,0.019896841,0.387298869,7,,,
0.196943653,0.050800248,0.235745654,0.414737266,0.025344438,0.154127417,5,,,
0.183032025,0.176142895,0.189970463,0.431447554,0.020224851,0.128949385,1,,,
0.264594325,0.180608365,0.22515201,0.367827663,0.01915754,0.325190427,2,,,
0.183660515,0.044433637,0.158238983,0.352526676,0.022458096,0.390189075,3,,,
0.230338473,0.103192148,0.225382141,0.383933964,0.020938218,0.412544508,7,,,
0.481743934,0.994694491,0.198850485,0.532917254,0.020953194,0.310159102,2,,,
0.170251679,0.305995225,0.113861697,0.375880813,0.022463575,0.317269122,2,,,
0.24782621,0.036254311,0.252739227,0.501308637,0.022053745,0.408566954,3,,,
0.183317988,0.115129543,0.085158058,0.309442319,0.027876471,0.369185784,7,,,
0.216939065,0.066672562,0.252128714,0.527280048,0.022926368,0.51555528,4,,,
0.17665285,0.135113626,0.094806452,0.361586471,0.025599029,0.089652725,7,,,
0.177014232,0.120037139,0.092558393,0.363197101,0.025264079,0.086762519,7,,,
0.011309679,0.041250332,0.01251077,0.06704248,0.022139217,0.546558796,5,,,
0.269270292,0.029180299,0.225720682,0.550030199,0.022848932,0.989594132,7,,,
0.244960295,0.42099213,0.106075274,0.409905375,0.02480786,0.311499977,2,,,
0.310417537,0.017375542,0.33250727,0.739480572,0.02242303,0.928899806,7,,,
0.189574606,0.148465824,0.065853663,0.152003221,0.021709298,0.128802903,3,,,
0.287952159,0.040940844,0.139419575,0.30118784,0.018383904,0.997070357,7,,,
0.158168957,0.070916969,0.163279046,0.313670223,0.02674743,0.386245324,3,,,
0.198285479,0.111857812,0.163878148,0.37809543,0.025120164,0.961694911,7,,,
0.209796275,0.069060041,0.032977232,0.0720757,0.026405539,0.098143057,3,,,
0.150231127,0.033071005,0.151913227,0.412321321,0.028401725,0.442139541,2,,,
0.230165639,0.055575206,0.235922531,0.474531911,0.027269031,0.413474106,7,,,
0.155252763,0.142276063,0.097490048,0.170726797,0.025828052,0.270817371,2,,,
0.20755885,0.658413653,0.247955921,0.502919267,0.0276427,0.353500924,7,,,
0.187224054,0.11782651,0.226190454,0.364405073,0.03062876,0.412110695,7,,,
0.248303862,0.116898046,0.031035381,0.135091605,0.028040476,0.339917519,1,,,
0.149476939,0.188920329,0.483319291,0.580833501,0.026199529,0.321263578,2,,,
0.177058226,0.414758157,0.098456219,0.344070868,0.0309228,0.309708388,2,,,
0.191610914,0.735520382,0.248910681,0.448963157,0.02868079,0.356210844,7,,,
0.244564346,0.052126625,0.274209899,0.602979666,0.028044494,0.352768513,7,,,
0.243118819,0.116853833,0.030227069,0.132675659,0.029121667,0.340999234,1,,,
0.262096077,0.066274649,0.287858011,0.661365009,0.028712568,0.323894623,7,,,
0.2259359,0.007427712,0.133190817,0.25689551,0.031055027,0.420736242,2,,,
0.201827021,0.140905474,0.116400748,0.239983894,0.031636533,0.117709695,3,,,
0.178516323,0.139932797,0.106335836,0.347694786,0.03151709,0.429187137,2,,,
0.204312699,0.039968167,0.227126194,0.653915845,0.029771478,0.376459188,3,,,
0.237097884,0.116898046,0.030253696,0.129454399,0.03011556,0.342959841,1,,,
0.163118316,0.030374038,0.300361173,0.645057379,0.028842238,0.330660973,7,,,
0.352190131,0.205544257,0.258785402,0.521441514,0.029704269,0.435733763,7,,,
0.230049368,0.117074896,0.034426488,0.114354741,0.030506396,0.365546266,1,,,
0.152625674,0.024670616,0.133325852,0.311052949,0.032485779,0.433773155,2,,,
0.200617177,0.055177292,0.237242457,0.454600362,0.030418366,0.415468518,7,,,
0.229204049,0.117163321,0.033382339,0.117173344,0.031044069,0.372239374,1,,,
0.337744286,0.259572022,0.259785807,0.488423596,0.030655425,0.434302745,7,,,
0.15656945,0.027367583,0.132104826,0.312864908,0.0337507,0.431097039,2,,,
0.14796542,0.034839508,0.117433485,0.342661566,0.029588114,0.954494749,2,,,
0.408920788,0.191705721,0.265807257,0.549023555,0.031322403,0.437176049,7,,,
0.181863033,0.109602971,0.216846366,0.240185222,0.029919046,0.542654482,1,,,
0.072556038,0.0446547,0.113827462,0.17998792,0.037525372,0.282434534,5,,,
0.245859036,0.028826598,0.262522657,0.514797665,0.034417313,0.531076757,4,,,
0.076729212,0.042753559,0.138915568,0.226696195,0.036760503,0.291820661,5,,,
0.126244803,0.09240428,0.303056181,0.254076908,0.034599946,0.323190382,2,,,
0.187340324,0.030860377,0.12958099,0.335816388,0.038267596,0.414848785,2,,,
0.357271473,0.120390839,0.296353847,0.607006241,0.03476176,0.44483256,7,,,
0.181237686,0.030550889,0.132939765,0.333601772,0.038525109,0.418285482,2,,,
0.254689322,0.102307896,0.048154481,0.155828468,0.047134094,0.127433858,2,,,
0.184081603,0.03864179,0.135339976,0.188645057,0.032015315,0.438973273,5,,,
0.229040641,0.125342647,0.084684482,0.270787195,0.036290404,0.420471447,1,,,
0.191742897,0.027588646,0.249302474,0.651499899,0.037468391,0.320993149,3,,,
0.225703359,0.137501105,0.050027863,0.217032414,0.042784856,0.080925767,7,,,
0.435361366,0.118135998,0.282509838,0.571975035,0.037028244,0.438584531,7,,,
0.027857823,0.037138562,0.056460125,0.125226495,0.037285757,0.341230225,5,,,
0.309540794,0.093376956,0.05253268,0.185222468,0.049236208,0.109951774,7,,,
0.160164413,0.070784331,0.096746401,0.333400443,0.041244524,0.394031415,2,,,
0.130892487,0.072464409,0.22405651,0.625327159,0.037101662,0.425936359,6,,,
0.162499254,0.077681493,0.094144587,0.321723374,0.041767952,0.39373845,2,,,
0.30137985,0.105668052,0.056933701,0.195490236,0.050783845,0.103726281,7,,,
0.270055904,0.042841984,0.267347804,0.413529293,0.036383181,0.527178077,1,,,
0.423291214,0.181227341,0.300741555,0.60398631,0.038995573,0.444133952,7,,,
0.191372088,0.11371474,0.096615169,0.318300785,0.042399499,0.402403434,2,,,
0.157421054,0.024316916,0.110525745,0.157439098,0.035261446,0.43935638,5,,,
0.236217998,0.032761517,0.322889307,0.63176968,0.038261751,0.351867084,7,,,
0.022415099,0.04001238,0.05021425,0.183813167,0.039597534,0.344509172,5,,,
0.163055467,0.072552834,0.089966089,0.308033018,0.043450374,0.393372245,2,,,
0.288260119,0.121230878,0.059293973,0.19810751,0.052602511,0.098954343,7,,,
0.227931356,0.139534884,0.048643272,0.201127441,0.048522475,0.082689187,7,,,
0.132809382,0.028119197,0.151570883,0.306422388,0.038159111,0.947086132,2,,,
0.265879588,0.132460872,0.058284058,0.19468492,0.054107047,0.095472574,7,,,
0.448801627,0.120213989,0.307470516,0.587880008,0.041460762,0.439936675,7,,,
0.157999265,0.064461933,0.308761913,0.71350916,0.040700641,0.32893699,7,,,
0.222878296,0.051949775,0.089460181,0.301791826,0.052589362,0.108233425,4,,,
0.193455533,0.138517995,0.068107428,0.195691564,0.044656121,0.890442602,2,,,
0.219688709,0.138164294,0.050394932,0.193275619,0.052525075,0.087083653,7,,,
0.44524123,0.167344593,0.310692353,0.601973022,0.042316218,0.443294497,7,,,
0.231746291,0.136661066,0.054295751,0.191866318,0.054333513,0.091833055,7,,,
0.162291852,0.056636307,0.083712606,0.294141333,0.046963149,0.392994772,2,,,
0.20740487,0.157485189,0.050486224,0.064626535,0.062190413,-0.04650809,4,,,
0.129186137,0.093863295,0.335219395,0.272800483,0.043517948,0.326277775,2,,,
0.271218611,0.251834822,0.331101758,0.725991544,0.042275309,0.351067066,7,,,
0.452368308,0.137899018,0.32104065,0.598550433,0.043797377,0.442308559,7,,,
0.094942855,0.099168804,0.212443442,0.50412724,0.043963209,0.43359287,6,,,
0.538160347,0.159607392,0.137557604,0.090195289,0.040893137,0.44949182,1,,,
0.453034507,0.090724202,0.322830348,0.593919871,0.044372308,0.441187407,7,,,
0.194052598,0.125917411,0.051406748,0.147976646,0.044622516,0.402014693,1,,,
0.157710159,0.074409762,0.092885522,0.233138716,0.045717953,0.284812052,2,,,
0.215232714,0.033734194,0.208782264,0.582444131,0.048251082,0.323184748,3,,,
0.168821864,0.082058537,0.078851322,0.155828468,0.048357375,0.112458872,3,,,
0.325746411,0.054690954,0.334407279,0.763841353,0.044192962,0.357501014,7,,,
0.15117072,0.048633831,0.100088058,0.318703443,0.053398429,0.114092712,4,,,
0.168840719,0.142452914,0.140480841,0.230118784,0.044637492,0.422995448,1,,,
0.184050179,0.046688478,0.086605412,0.296355949,0.056121497,0.110554604,4,,,
0.029941268,0.031037227,0.005517443,0.054761425,0.047013921,0.524124487,5,,,
0.156434324,0.054248828,0.106767569,0.235353332,0.047501919,0.284845856,2,,,
0.126178812,0.108320806,0.208531211,0.446144554,0.045879036,0.427350476,5,,,
0.14991374,0.031877266,0.158959807,0.213811154,0.047966173,0.284141614,2,,,
0.173884352,0.057476346,0.084697796,0.190457016,0.050018976,0.886262226,2,,,
0.028128074,0.029180299,0.007904341,0.04590296,0.048525763,0.52276671,5,,,
0.11537821,0.123308869,0.189493084,0.436480773,0.046668013,0.428488529,5,,,
0.157395914,0.150588027,0.081816401,0.185826455,0.048283591,0.268868031,2,,,
0.077002605,0.074763463,0.136968012,0.165693578,0.046083951,0.370909767,5,,,
0.026691974,0.034087895,0.041849646,0.107106906,0.048976868,0.340086537,5,,,
0.054857757,0.077327792,0.009844291,0.08355144,0.151038765,0.317055032,6,,,
0.154841102,0.048943319,0.131085402,0.23072277,0.049627409,0.284513454,2,,,
0.280840794,0.055044655,0.0562357,0.053352124,0.076087373,-0.055820976,2,,,
0.28746508,0.045494739,0.064786691,0.059593316,0.076187091,-0.051944833,2,,,
0.181155982,0.142629764,0.070056886,0.191061003,0.053241729,0.128200072,3,,,
0.268371551,0.063489256,0.042338437,0.035836521,0.078998919,-0.061364763,2,,,
0.068709678,0.062207092,0.098634999,0.167304208,0.050124173,0.370250597,5,,,
0.082461041,0.100053055,0.189339029,0.474733239,0.054133347,0.430809708,6,,,
0.088626529,0.047616942,0.131439157,0.327763237,0.057706757,0.300322261,5,,,
0.290528969,0.033601556,0.061169257,0.043487014,0.08465691,-0.058801325,2,,,
0.060913259,0.054337254,0.092404339,0.182605194,0.077876818,0.149361112,5,,,
0.285394205,0.07608984,0.295385774,0.7823636,0.056648212,0.346604994,7,,,
0.048852534,0.01768503,0.072342983,0.073485001,0.050894887,0.439423987,5,,,
0.068879371,0.041338757,0.118667826,0.214213811,0.057546039,0.281916212,5,,,
0.091464162,0.026306482,0.129054161,0.195087578,0.05734916,0.61202506,5,,,
0.05909378,0.057078433,0.068725549,0.165089591,0.055868732,0.369405508,5,,,
0.039425183,0.031700416,0.049413546,0.174954701,0.059368723,0.338666787,5,,,
0.060737282,0.063533469,0.062057449,0.123414536,0.082830939,0.148465318,5,,,
0.618666784,0.283314175,0.093313452,0.092208577,0.060334125,0.448190382,1,,,
0.050747432,0.031567778,0.032167018,0.10308033,0.067995241,0.335416009,5,,,
0.678904416,0.582368025,0.203519676,0.09985907,0.066126534,0.489036373,1,,,
0.265376796,0.088469361,0.286420166,0.779746326,0.07042573,0.347365574,7,,,
0.180690899,0.151472279,0.088667084,0.152405879,0.07441591,0.87887051,2,,,
0.079984791,0.042532496,0.120984353,0.303201127,0.067025457,0.297032046,5,,,
0.072779152,0.109735609,0.144855236,0.467082746,0.071133618,0.425750439,5,,,
0.07002008,0.039172341,0.121393264,0.137306221,0.066226982,0.439390183,7,,,
0.033746775,0.041471394,0.030750095,0.193678277,0.073099121,0.33359625,5,,,
0.031625621,0.045362101,0.030219461,0.184014496,0.074072194,0.333613152,5,,,
0.304635429,0.086302945,0.317276768,0.994362794,0.07140282,0.356723532,7,,,
0.029001675,0.047661155,0.028697933,0.170122811,0.07818766,0.333652589,5,,,
0.069966659,0.042753559,0.094726572,0.248037044,0.07890468,0.29158967,5,,,
0.030076393,0.037801751,0.032478932,0.091201933,0.080997297,0.338165367,5,,,
0.028602584,0.038774427,0.047000021,0.136500906,0.081105051,0.338863974,5,,,
0.049195061,0.092227429,0.171947956,0.151197906,0.080342007,0.276440032,6,,,
0.07132734,0.026660182,0.09958215,0.153009865,0.084617461,0.604053049,5,,,
0.018650443,0.014457512,0.005028652,0.028790014,0.08468394,0.52490197,5,,,
0.074023562,0.093509594,0.035579046,0.044292329,0.087006309,0.458511741,5,,,
0.23184685,0.252895924,0.049430663,0.172136098,0.106468848,0.35670663,2,,,
0.069686981,0.024140065,0.12800811,0.171934769,0.099682181,0.383991752,5,,,
0.237204728,0.255460253,0.05052236,0.173142742,0.117205515,0.356768603,2,,,
0.067367852,0.101069944,0.127492692,0.423595732,0.097324015,0.426015234,5,,,
0.110124033,0.06096914,0.12890391,0.093013892,0.100567589,0.295488349,7,,,
0.070218055,0.017729242,0.119470432,0.212603181,0.104486907,0.438528192,5,,,
