,Unnamed: 0,"DEPT,m","LITHOLOGY_GEOLINK,_",LITH,"GR,gAPI","NPHI,m3/m3","RHOB,g/cm3","DTC,us/ft","RDEP,ohm.m","RMED,ohm.m","Igr,m3/m3",GR_s,GR_std,RHOB_std,NPHI_std,DTC_std,"DPHI,m3/m3","deltaPHI,m3/m3","APHI,m3/m3",log10RMED,log10RDEP,M,N,"DT_m,us/ft","rho_m,g/cm3","Vp,km/s",rho_Vp,rho_Vp2,GR_grad,RHOB_grad,NPHI_grad,DTC_grad,log10RDEP_grad,log10RMED_grad,DPHI_grad,deltaPHI_grad,APHI_grad,M_grad,N_grad,DTm_grad,rhom_grad,rhoVp_grad,rhoVp2_grad,"groupTop,m","DgroupTop,m",Cromer Knoll,Hegre,Rogaland,Rotliegend,Shetland,Vestland,Viking,Zechstein,LITH_g,prob_c,prob_a
10,10,2076.542481,5,5,64.13742065,0.398230016,2.11181736,121.9751205,0.632000029,0.958007991,0.451844691,0.842132101,15.07812068,0.062978241,0.041520794,11.40516523,0.349814409,0.048415607,0.374022213,-0.018630868,-0.199282902,0.602840735,0.541248955,77.62043425,2.847578626,2.498870171,5.277157408,13.18693124,34.54410166,-0.313481515,0.007471141,-28.28016476,0.014489912,-0.210560388,0.183322524,-0.175851383,0.095396832,0.443409869,0.152446256,-48.46960347,-0.498939451,0.456312662,4.351631528,2075,1.542481,0,0,1,0,0,0,0,0,1,0.00057891,8.82E-09
11,11,2076.695068,5,5,69.40840149,0.399370015,2.063984156,117.659935,0.586932719,0.962897599,0.493878701,1.085582708,14.86138477,0.063690414,0.042594145,11.50982287,0.377787043,0.021582972,0.388578529,-0.016419896,-0.23141168,0.670499317,0.564510272,70.22460286,2.771446952,2.590516392,5.346784788,13.85093364,45.87938186,-0.225019036,0.214251825,-8.792302946,-0.096987591,-0.211527901,0.131590079,0.082661745,0.172920952,0.231909532,-0.084710053,-60.28301242,0.272041241,-0.18548108,0.560924208,2075,1.695068,0,0,1,0,0,0,0,0,1,0.000656893,2.66E-09
12,12,2076.847412,5,5,76.39785004,0.432009995,2.029703856,116.3204804,0.544958353,0.930689097,0.54961682,1.408404122,14.23580344,0.064184481,0.044865904,11.6591823,0.397834002,0.034175993,0.414921999,-0.031195374,-0.263636686,0.705829343,0.551605203,61.04084762,2.812890803,2.620346728,5.318527858,13.93638707,48.50688153,-0.049860946,0.389316409,12.79775508,-0.666153426,-0.139395799,0.029158448,0.360157961,0.209237429,-0.090777341,-0.353986964,-72.77432498,1.289469232,-0.704005523,-3.322354566,2075,1.847412,0,0,1,0,0,0,0,0,1,0.000368606,9.67E-10
13,13,2076.999756,5,5,83.7875824,0.491320014,2.02210784,118.2701416,0.518952012,0.736750007,0.608547045,1.749713431,13.42341837,0.064146821,0.04528467,11.95658056,0.402276117,0.089043897,0.446798065,-0.132679851,-0.2848728,0.69199996,0.497677413,49.95411586,3.009333703,2.577150802,5.211276841,13.43024629,39.21583108,0.000453848,0.211888673,41.65142441,-0.677715279,-0.169474001,-0.000265408,0.212154081,0.105811632,-0.407784869,-0.207512541,25.5860119,0.894645012,-1.740704765,-8.746550823,2075,1.999756,0,0,1,0,0,0,0,0,1,7.71E-05,6.70E-10
14,14,2077.1521,5,5,89.76187897,0.523599982,2.022176981,124.6154862,0.488999993,0.580863774,0.656189723,2.025648056,12.11398958,0.063381635,0.045695747,12.28279101,0.402235684,0.121364298,0.462917833,-0.235925708,-0.310691147,0.629876381,0.466064123,53.85199125,3.145627503,2.445923854,4.946090914,12.09776175,11.73408217,-0.092428028,0.088878583,65.14620363,-0.450481448,-0.131229954,0.054051478,0.034827105,0.071465031,-0.588479348,-0.045433357,114.7959242,0.212315403,-2.604362765,-11.75808204,2075,2.1521,0,0,1,0,0,0,0,0,1,2.04E-05,5.66E-10
15,15,2077.304443,6,6,91.54948425,0.537140012,2.008096218,134.5400543,0.467000008,0.495959938,0.670445176,2.108212119,10.29607474,0.062293542,0.045002405,12.49705925,0.410470048,0.126669964,0.47380503,-0.304553403,-0.330683112,0.540225672,0.459142669,71.34034673,3.177972268,2.265496263,4.549334478,10.30650026,-18.3871368,-0.148053798,-0.194379551,65.29055365,-0.146350252,-0.268579475,0.086581169,-0.28096072,-0.053899191,-0.581349747,0.266216175,179.0002208,-1.160170349,-2.367814427,-9.651223111,2075,2.304443,0,0,1,0,0,0,0,0,1,1.26E-05,4.32E-10
16,16,2077.457031,6,6,88.74382782,0.507480025,1.985504985,144.5026093,0.424947113,0.471102387,0.648071163,1.978627364,9.576767496,0.06184332,0.04494122,12.59031101,0.423681295,0.08379873,0.46558066,-0.326884695,-0.371665117,0.451518677,0.499764063,98.65363242,3.000944195,2.109304404,4.18803441,8.833839427,13.95169984,-0.065517218,0.007811315,41.29049716,0.187029605,-0.230168406,0.038314162,-0.030502847,0.023062739,-0.3929404,0.025557383,82.6018681,-0.101535048,-1.279208651,-5.00458617,2075,2.457031,0,0,1,0,0,0,0,0,1,1.87E-05,2.53E-10
17,17,2077.609375,6,6,90.86928558,0.508670032,1.97552383,150.7929688,0.391985595,0.503046513,0.665020858,2.076795807,9.830359263,0.062635116,0.047329918,12.55196612,0.429518228,0.079151804,0.46909413,-0.298391857,-0.406729892,0.391656565,0.503657576,111.2375314,2.98547594,2.02131434,3.993154647,8.071420751,-2.952218663,0.051087906,-0.172832694,11.3532466,0.159744991,-0.066109262,-0.029875969,-0.142956726,-0.101354332,-0.135808462,0.149599177,47.89464891,-0.564206728,-0.195142768,-0.990780225,2075,2.609375,0,0,1,0,0,0,0,0,1,1.65E-05,1.51E-10
18,18,2077.761719,6,6,90.41953278,0.482340008,1.983306766,152.5225678,0.382999986,0.53204006,0.661434255,2.05602309,10.35262906,0.063955788,0.048313917,12.43958594,0.424966804,0.057373204,0.453653406,-0.274055666,-0.416801242,0.37096696,0.526448114,118.5339938,2.89952243,1.998392727,3.963425817,7.920481329,-18.32509013,0.102595232,-0.056451163,-7.133602242,0.1307131,-0.037461066,-0.059997212,0.003546048,-0.058224187,0.033312007,0.002442695,-5.996492802,-0.008807469,0.393199801,1.164512299,2075,2.761719,0,0,1,0,0,0,0,0,1,2.11E-05,1.62E-10
19,19,2077.914063,6,6,87.62781525,0.473740012,1.998936534,151.4358063,0.377999991,0.5570032,0.6391714,1.92708213,10.68425196,0.064806916,0.048450723,12.35631788,0.415826588,0.057913424,0.4447833,-0.25414231,-0.422508211,0.376041845,0.526820243,117.6204641,2.898180665,2.012733961,4.023327448,8.09788779,-25.35964807,0.082366886,0.162464614,-12.85917542,0.009908108,0.015271643,-0.048167769,0.210632383,0.057148422,0.096508067,-0.203515779,-48.76826957,0.77921725,0.51408454,1.744957049,2075,2.914063,0,0,1,0,0,0,0,0,1,2.23E-05,2.00E-10
