"DEPT,m","LITHOLOGY_GEOLINK,_",LITH,"GR,gAPI","NPHI,m3/m3","RHOB,g/cm3","DTC,us/ft","RDEP,ohm.m","RMED,ohm.m","Igr,m3/m3",GR_s,GR_std,RHOB_std,NPHI_std,DTC_std,"DPHI,m3/m3","deltaPHI,m3/m3","APHI,m3/m3",log10RMED,log10RDEP,M,N,"DT_m,us/ft","rho_m,g/cm3","Vp,km/s",rho_Vp,rho_Vp2,GR_grad,RHOB_grad,NPHI_grad,DTC_grad,log10RDEP_grad,log10RMED_grad,DPHI_grad,deltaPHI_grad,APHI_grad,M_grad,N_grad,DTm_grad,rhom_grad,rhoVp_grad,rhoVp2_grad,"groupTop,m","DgroupTop,m",Cromer Knoll,Hegre,Rogaland,Rotliegend,Shetland,Vestland,Viking,Zechstein,LITH_g,prob_c,prob_a
2120.085205,5,5,59.31760025,0.356900007,2.238399983,126.2890015,0.5898,0.834800005,0.219538312,0.226576035,4.48978511,0.028879658,0.02349519,1.660051059,0.275789484,0.081110523,0.316344745,-0.078417557,-0.229295232,0.506387269,0.519299097,91.4863953,2.925672518,2.41351176,5.402404682,13.03876723,36.67589869,-0.123207729,0.203161376,11.32329148,-0.014355678,0.066770256,0.072051304,0.131110072,0.13760634,-0.041687513,-0.114119152,-13.86653576,0.43786072,-0.771201262,-2.989481843,2120,0.085205,0,0,1,0,0,0,0,0,1,0.000136561,6.87E-08
2120.237793,5,5,64.91390228,0.387899995,2.219599962,128.0167999,0.603799999,0.830600023,0.242443936,0.35827504,4.64966704,0.028677118,0.023777461,1.691035546,0.286783648,0.101116347,0.337341821,-0.080608061,-0.219106892,0.500026255,0.501885884,89.37052834,2.99248481,2.380937428,5.284728624,12.58260818,42.70991591,0.038729093,0.144410118,14.27822166,-0.109146472,0.106118886,-0.022648593,0.167058711,0.060880763,-0.132311518,-0.133698645,-0.185192498,0.553235155,-0.488907911,-2.524551369,2120,0.237793,0,0,1,0,0,0,0,0,1,9.66E-05,4.96E-08
2120.390137,6,6,71.42050171,0.40990001,2.225500107,130.1920013,0.626699984,0.799399972,0.2690754,0.511396275,4.94147539,0.02830427,0.023690882,1.644729457,0.283333271,0.126566739,0.34661664,-0.097235871,-0.202940316,0.479869389,0.481517698,89.34231538,3.076766866,2.341157577,5.210246437,12.19800792,5.913602045,0.16147528,-0.131281908,6.944800583,-0.11163712,0.072311131,-0.094429988,-0.03685192,-0.112855948,-0.117538646,0.042819541,32.82748982,-0.182210518,0.099303171,-0.414820016,2120,0.390137,0,0,1,0,0,0,0,0,1,5.38E-05,5.86E-08
2120.542481,6,6,72.3214035,0.389899999,2.250099897,131.25,0.642799974,0.768700004,0.272762785,0.532597395,4.884310549,0.027563529,0.030094305,1.629274924,0.268947429,0.12095257,0.329423714,-0.114243117,-0.191924149,0.461963081,0.488040998,94.34338649,3.049008187,2.32228564,5.225374679,12.13481258,-40.05107855,0.174606795,-0.08336446,5.832260097,-0.074772449,-0.024049751,-0.102109237,0.018744776,-0.092736849,-0.108862295,-0.001449686,22.03477483,0.006089167,0.172125494,-0.138563203,2120,0.542481,0,0,1,0,0,0,0,0,1,4.89E-05,1.04E-07
2120.694824,5,5,66.21990204,0.377200007,2.27670002,132.138504,0.637399971,0.74879998,0.247789383,0.38900942,4.722285947,0.02673973,0.032496939,1.781984516,0.253391801,0.123808206,0.315295904,-0.125634176,-0.195587961,0.445378672,0.487820148,97.70023019,3.049935829,2.306670509,5.251596793,12.11370345,-28.08477986,0.109445232,-0.203161572,-4.991896479,-0.031724494,-0.080613362,-0.064003059,-0.139158513,-0.133582316,0.000907989,0.115797107,20.7352525,-0.469597659,0.453461592,1.512332783,2120,0.694824,0,0,1,0,0,0,0,0,1,5.39E-05,1.76E-07
2120.847412,5,5,61.93450165,0.346199989,2.293400049,131.3768005,0.619599998,0.740499973,0.230249271,0.288160151,4.606043007,0.025899503,0.035501383,2.03062119,0.243625702,0.102574287,0.294912846,-0.130474953,-0.207888592,0.445517221,0.505489397,100.8641809,2.978280861,2.320044247,5.320789591,12.34446728,-18.69848698,-0.014441829,0.06957938,-14.48435121,-0.017764093,-0.140031764,0.008445514,0.061133866,0.039012447,0.117160474,-0.048233575,-32.05346159,0.191551188,0.562562555,2.711698754,2120,0.847412,0,0,1,0,0,0,0,0,1,6.91E-05,2.31E-07
2120.999756,5,5,59.08589935,0.35679999,2.291199923,129.1701965,0.589900017,0.735899985,0.218589962,0.221123366,4.510959937,0.025764635,0.036207624,2.338126912,0.244912326,0.111887664,0.300856158,-0.133181206,-0.229221591,0.463365916,0.498141301,95.98102834,3.007462536,2.359677375,5.406492621,12.75757832,-2.915760384,-0.015097569,-0.145722759,-2.758208397,-0.055150836,-0.116896825,0.008828988,-0.154551747,-0.068446886,0.026827361,0.118894789,16.22598862,-0.462324239,0.080081511,0.462888571,2120,0.999756,0,0,1,0,0,0,0,0,1,6.20E-05,1.82E-07
2121.1521,5,5,58.64170075,0.334600002,2.288899899,128.75,0.566200018,0.721800029,0.21677186,0.210669943,4.386951191,0.02547524,0.036043136,2.569969213,0.246257369,0.088342633,0.290428686,-0.141583105,-0.247030121,0.467452903,0.516254209,98.45296035,2.937030212,2.367378565,5.418692558,12.82809661,18.3021233,-0.016409149,0.017066646,-0.443111269,-0.053823651,-0.077059367,0.009595994,0.007470652,0.01333132,0.009407351,-0.006681711,-3.0000686,0.025119884,-0.020208069,-0.003692383,2120,1.1521,0,0,1,0,0,0,0,0,1,6.83E-05,1.57E-07
2121.304443,5,5,61.42990112,0.337199986,2.28640008,128.6824951,0.551100016,0.708299995,0.228183944,0.276285275,4.38192646,0.025500444,0.036767741,2.56835995,0.247719251,0.089480735,0.292459619,-0.149782761,-0.258769576,0.468886047,0.515236297,97.9959209,2.94085705,2.368620456,5.415614001,12.8275341,11.3276557,0.064327817,0.097148637,11.12157617,-0.061431298,-0.059060764,-0.037618607,0.134767244,0.029765015,-0.109071265,-0.100518948,3.519527608,0.39024604,-0.311581856,-1.822659733,2120,1.304443,0,0,1,0,0,0,0,0,1,5.15E-05,1.31E-07
2121.456787,5,5,63.1556015,0.351999998,2.296200037,130.3768005,0.539799988,0.693199992,0.235247223,0.316896562,4.472023305,0.025466524,0.03692321,2.611783223,0.241988282,0.110011716,0.29699414,-0.159141451,-0.267767129,0.452269695,0.499922839,98.53209982,3.000308693,2.337839164,5.368146374,12.54986283,-11.66736663,0.025559356,-0.055050155,4.350296878,-0.04427537,-0.044103183,-0.014946992,-0.040103163,-0.034998573,-0.042352655,0.032514765,14.21476058,-0.128820761,-0.118761197,-0.692869526,2120,1.456787,0,0,1,0,0,0,0,0,1,3.23E-05,1.38E-07
