"DEPT,m","LITHOLOGY_GEOLINK,_",LITH,"GR,gAPI","NPHI,m3/m3","RHOB,g/cm3","DTC,us/ft","RDEP,ohm.m","RMED,ohm.m","Igr,m3/m3",GR_s,GR_std,RHOB_std,NPHI_std,DTC_std,"DPHI,m3/m3","deltaPHI,m3/m3","APHI,m3/m3",log10RMED,log10RDEP,M,N,"DT_m,us/ft","rho_m,g/cm3","Vp,km/s",rho_Vp,rho_Vp2,GR_grad,RHOB_grad,NPHI_grad,DTC_grad,log10RDEP_grad,log10RMED_grad,DPHI_grad,deltaPHI_grad,APHI_grad,M_grad,N_grad,DTm_grad,rhom_grad,rhoVp_grad,rhoVp2_grad,"groupTop,m","DgroupTop,m",Cromer Knoll,Hegre,Rogaland,Rotliegend,Shetland,Vestland,Viking,Zechstein,LITH_g,prob_c,prob_a
2936.38208,1,1,45.69400787,0.262258083,2.355972767,92.6565094,0.774062514,1.330900669,0.16393788,0.037945817,8.535846859,0.053682111,0.016831631,0.988704339,0.20703347,0.055224613,0.234645776,0.124145643,-0.111223964,0.710511988,0.544068388,58.40759583,2.838004234,3.2895691,7.750135215,25.49460533,-15.1736029,-0.089809175,-0.018439243,-1.624746954,-0.117470863,-0.131713562,0.052519986,-0.070959228,0.017040371,0.059642784,0.050139338,1.057696314,-0.167038566,-0.159960923,-0.079362468,2821,115.38208,0,1,0,0,0,0,0,0,0,0.001085922,1.11E-06
2936.534424,1,1,43.38240051,0.259448975,2.342290878,92.40898895,0.73911202,1.277172804,0.154478308,-0.041441375,7.988614439,0.04972792,0.016744588,0.861550312,0.215034574,0.044414401,0.237241775,0.106249662,-0.131289735,0.719598208,0.551706815,58.56872951,2.812556911,3.298380317,7.725766128,25.48251493,36.55357381,-0.149160825,-0.024464434,-0.67934949,-0.307923861,-0.203621724,0.087228553,-0.111692986,0.03138206,0.086492383,0.08090564,3.37448831,-0.259986783,-0.435681488,-1.251110654,2821,115.534424,0,1,0,0,0,0,0,0,0,0.001275215,7.79E-07
2936.687012,1,1,48.96003723,0.255715996,2.319530726,92.30532837,0.688081741,1.146209955,0.177303144,0.150110584,6.889745357,0.046403302,0.014966461,0.892100141,0.228344605,0.027371391,0.2420303,0.059264176,-0.162359966,0.732795908,0.564052045,59.08363594,2.772886047,3.302084458,7.659286361,25.29161046,20.12586843,-0.154993049,-0.009607546,1.650337854,-0.225220652,-0.26910664,0.09063921,-0.100246756,0.040515832,0.07490818,0.074874843,3.886723994,-0.230676063,-0.646979195,-2.581540093,2821,115.687012,0,1,0,0,0,0,0,0,0,0.0010777,4.03E-07
2936.839356,1,1,52.02609253,0.254252344,2.295918465,92.55674744,0.626099348,1.05913949,0.189850072,0.255407672,5.904050762,0.043723924,0.012535984,1.022211344,0.242152944,0.0120994,0.248202644,0.024953161,-0.203356748,0.74420772,0.575458778,59.67575502,2.737743933,3.29311475,7.560722963,24.89832831,13.34914922,-0.059780318,0.019252187,4.105238508,0.112911505,-0.277163098,0.03495925,-0.015707063,0.027105719,0.002670624,0.011772449,2.174787133,-0.035439451,-0.52863784,-2.826103277,2821,115.839356,0,1,0,0,0,0,0,0,0,0.000911149,1.89E-07
2936.991699,2,2,54.05974197,0.25718528,2.286811352,93.18215179,0.568092942,1.101931095,0.198172184,0.325248996,5.329167449,0.040220424,0.011589116,1.129556459,0.247478742,0.009706538,0.252332011,0.042154438,-0.245580606,0.74461457,0.577252228,60.00706861,2.732344981,3.271012575,7.480188688,24.46779126,-16.15937851,0.034163978,0.022706414,3.142673161,0.018200302,-0.246277173,-0.019978934,0.042685349,0.00136374,-0.044013175,-0.032838328,0.289043893,0.099409982,-0.139808666,-1.275963892,2821,115.991699,0,1,0,0,0,0,0,0,0,0.000648415,1.03E-07
2937.144043,2,2,51.59795761,0.260644466,2.292016029,93.66091919,0.521075368,1.108988762,0.188098056,0.240704297,5.303985178,0.034798991,0.011072057,1.180571783,0.244435071,0.016209395,0.252539768,0.044927145,-0.283099456,0.737909427,0.572249506,60.05110272,2.747489495,3.254292109,7.458889677,24.27340582,-15.16015642,0.081195406,-0.052701032,-1.346652444,-0.25161764,-0.111637743,-0.047482694,-0.005218338,-0.050091863,-0.035609354,0.004781562,7.290878447,-0.014582985,0.372292616,1.563976575,2821,116.144043,0,1,0,0,0,0,0,0,0,0.000508618,8.06E-08
2937.296387,2,2,49.28839874,0.25261578,2.304385662,93.45576477,0.501064003,1.015300751,0.178646866,0.161387455,5.295692964,0.030087739,0.010103712,1.236990418,0.237201367,0.015414413,0.244908574,0.006594707,-0.300106796,0.732484556,0.572977948,61.1618243,2.745267865,3.261435942,7.515606223,24.51166827,5.473871078,0.046637468,0.002579095,-4.486596784,-0.606963706,0.066898263,-0.027273373,0.029852469,-0.012347139,0.008162201,-0.022341816,-6.447608718,0.068459596,0.516697134,2.883042986,2821,116.296387,0,1,0,0,0,0,0,0,0,0.000449444,9.31E-08
2937.448975,2,2,50.12364578,0.253009319,2.31150198,92.77116394,0.512980759,0.8203125,0.182064869,0.190072222,5.373221431,0.027836095,0.008821302,1.337000237,0.233039778,0.019969541,0.243024548,-0.086020671,-0.289898924,0.73373001,0.569568855,60.17799658,2.755713978,3.285503569,7.594448006,24.95158603,8.200911758,-0.01493021,0.043979179,-5.235252161,-0.653475568,0.156626512,0.008731117,0.035248062,0.026355148,0.048354672,-0.027096434,-14.72494137,0.084135385,0.382806791,2.688894683,2821,116.448975,0,1,0,0,0,0,0,0,0,0.000336628,1.31E-07
2937.601318,2,2,51.37299728,0.259709239,2.309227467,91.97360992,0.541953504,0.652269244,0.187177472,0.232978517,5.413652486,0.027165747,0.007070077,1.466516652,0.234369902,0.025339337,0.247039571,-0.185573099,-0.266037971,0.741096506,0.565440903,57.93475484,2.768531415,3.313993987,7.65276594,25.36122031,12.91714633,-0.03513585,0.032314151,-2.147232054,-0.261534585,0.153583326,0.020547281,0.01176687,0.026430716,0.036438605,-0.009546089,-8.67932121,0.029934324,0.062444916,0.801881591,2821,116.601318,0,1,0,0,0,0,0,0,0,0.00026733,1.78E-07
2937.753662,2,2,53.34084702,0.264632106,2.303874731,91.646492,0.571951926,0.595091403,0.195230318,0.300560092,5.532305562,0.026882538,0.005776926,1.531234452,0.237500157,0.027131949,0.251066132,-0.225416324,-0.242640473,0.746647708,0.563986614,56.61251233,2.77309173,3.325822774,7.662279049,25.48338216,23.32716024,0.048073715,-0.027036575,-1.993987095,0.569095707,0.140785892,-0.028113283,0.001076708,-0.027574929,-0.012167691,-5.82E-05,2.14380738,0.000183082,0.32768187,1.649731538,2821,116.753662,0,1,0,0,0,0,0,0,0,0.000253492,2.09E-07
