,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR0
1,6413.9,112.67,NaN,2.639,3.61,2,0.89003,0.046711,NaN
2,6414.4,119.37,NaN,2.632,3.635,2,0.99,0.051316,NaN
3,6414.8,119.24,NaN,2.644,3.697,2,0.98794,0.043421,NaN
4,6415.3,119.08,NaN,2.665,3.983,2,0.98555,0.029605,NaN
5,6415.8,93.212,NaN,2.722,4.417,2,0.64033,-0.0078947,NaN
6,6416.2,65.958,NaN,2.742,4.839,2,0.37414,-0.021053,NaN
7,6416.7,39.267,0.007,2.743,4.911,2,0.18437,-0.021711,0.73553
8,6417.1,28.145,0.008,2.736,4.914,2,0.12128,-0.017105,0.45526
9,6417.6,26.914,0.01,2.716,4.819,2,0.11479,-0.0039474,0.30263
10,6418.1,26.888,0.011,2.711,4.744,2,0.11466,-0.00065789,0.51711
11,6418.5,27.132,0.012,2.709,4.668,2,0.11593,0.00065789,0.63289
12,6419,28.696,0.013,2.712,4.605,2,0.12422,-0.0013158,0.58421
13,6419.5,31.306,0.015,2.71,4.588,2,0.13838,0,0.75
14,6419.9,32.94,0.018,2.698,4.57,2,0.14747,0.0078947,1.2947
15,6420.4,32.815,0.02,2.685,4.541,2,0.14677,0.016447,1.8224
16,6420.9,31.862,0.018,2.681,4.507,2,0.14145,0.019079,1.8547
17,6421.3,29.438,0.015,2.691,4.497,2,0.1282,0.0125,1.375
18,6421.8,27.03,0.013,2.7,4.486,2,0.1154,0.0065789,0.97895
19,6422.3,24.9,0.011,2.698,4.498,2,0.10438,0.0078947,0.94474
20,6422.7,25.395,0.011,2.696,4.628,2,0.10691,0.0092105,1.0105
21,6423.2,25.921,0.013,2.694,4.698,2,0.10963,0.010526,1.1763
22,6423.7,26.435,0.016,2.695,4.738,2,0.11229,0.0098684,1.2934
23,6424.1,26.947,0.018,2.697,4.688,2,0.11496,0.0085526,1.3276
24,6424.6,27.576,0.021,2.687,4.601,2,0.11827,0.015132,1.8066
25,6425.1,29.149,0.024,2.681,4.533,2,0.12664,0.019079,2.1539
26,6425.5,31.309,0.026,2.678,4.482,2,0.1384,0.021053,2.3526
27,6426,33.204,0.026,2.678,4.474,2,0.14896,0.021053,2.3526
28,6426.5,34.323,0.026,2.684,4.467,2,0.15531,0.017105,2.1553
29,6426.9,35.693,0.023,2.693,4.461,2,0.16319,0.011184,1.7092
30,6427.4,37.72,0.021,2.708,4.481,2,0.17509,0.0013158,1.1158
31,6427.9,41.114,0.023,2.716,4.52,2,0.19567,-0.0039474,0.95263
32,6428.3,44.432,NaN,2.709,4.494,2,0.2166,0.00065789,NaN
33,6428.8,44.673,NaN,2.708,4.471,2,0.21815,0.0013158,NaN
34,6429.3,39.07,0.021,2.708,4.451,2,0.18318,0.0013158,1.1158
35,6429.7,34.408,0.019,2.714,4.468,2,0.15579,-0.0026316,0.81842
36,6430.2,29.627,0.018,2.712,4.494,2,0.12922,-0.0013158,0.83421
37,6430.7,27.391,0.021,2.703,4.548,2,0.1173,0.0046053,1.2803
38,6431.1,26.536,0.027,2.69,4.498,2,0.11282,0.013158,2.0079
39,6431.6,28.41,0.033,2.682,4.438,2,0.12269,0.018421,2.5711
40,6432.1,31.804,0.04,2.667,4.324,2,0.14113,0.028289,3.4145
41,6432.5,35.188,0.042,2.654,4.168,2,0.16027,0.036842,3.9421
42,6433,37.229,0.036,2.653,4.166,2,0.17218,0.0375,3.6758
43,6433.5,36.395,0.03,2.66,4.335,2,0.16728,0.032895,3.1481
44,6433.9,32.939,0.024,2.666,4.437,2,0.14747,0.028947,2.6589
45,6434.4,29.714,0.018,2.664,4.534,2,0.12969,0.030263,2.4898
46,6434.9,29.635,0.02,2.684,4.558,2,0.12926,0.017105,1.8553
47,6435.3,33.224,0.022,2.694,4.51,2,0.14907,0.010526,1.6263
48,6435.8,37.045,0.024,2.691,4.458,2,0.1711,0.0125,1.825
49,6436.3,38.918,0.025,2.69,4.439,2,0.18226,0.013158,1.9079
50,6436.7,36.294,0.023,2.69,4.387,2,0.16669,0.013158,1.8079
51,6437.2,33.683,0.021,2.703,4.375,2,0.15166,0.0046053,1.2803
52,6437.7,32.258,0.02,2.704,4.399,2,0.14366,0.0039474,1.1974
53,6438.1,31.469,0.02,2.701,4.381,2,0.13928,0.0059211,1.2961
54,6438.6,29.961,0.02,2.686,4.388,2,0.13103,0.015789,1.7895
55,6439.1,29.172,0.019,2.685,4.439,2,0.12677,0.016447,1.7724
56,6439.5,29.061,0.019,2.682,4.479,2,0.12617,0.018421,1.8711
57,6440,29.259,0.019,2.681,4.474,2,0.12723,0.019079,1.904
58,6440.4,29.525,0.019,2.677,4.467,2,0.12867,0.021711,2.04
59,6440.9,30.829,0.019,2.678,4.46,2,0.13576,0.021053,2.0053
60,6441.4,32.229,0.021,2.693,4.453,2,0.14349,0.011184,1.6092
61,6441.8,33.969,0.022,2.702,4.443,2,0.15329,0.0052632,1.3632
