TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1565.03,1567.05,9.22078,111.343,0.527403,8.71665,7.10455,78.2389,2.39494,0.33792,mudstone
1567.05,1569.19,8.24733,87.1932,0.14152,20.7065,17.3949,72.1994,2.30185,0.421167,siltstone
1569.19,1570.2,9.4872,110.276,1.99032,8.94028,8.55768,77.2862,2.36726,0.418207,mudstone
1570.2,1570.83,9.3113,104.017,2.14254,9.52073,9.82485,76.0126,2.40877,0.146426,silty mudstone
1570.83,1571.65,9.29422,101.865,1.92916,7.35273,8.11379,77.9647,2.47041,0.375401,mudstone
1571.65,1572.54,9.18663,74.361,2.18538,26.2637,27.9852,62.9508,2.48928,0.327272,siltstone
1572.54,1573.23,9.54527,93.0515,1.23688,11.6126,12.8856,73.6985,2.44022,0.337136,mudstone
1573.23,1574.05,9.28739,81.5827,2.03091,21.4646,21.6283,69.3068,2.40751,0.353502,siltstone
1574.05,1575.76,10.1191,111.547,1.95847,9.06557,9.89833,81.5191,2.34588,0.38564,mudstone
1575.76,1577.08,9.34545,87.9697,1.63037,22.7619,22.2671,67.579,2.405,0.317139,siltstone
1577.08,1578.03,9.56235,102.533,1.7062,8.52158,9.97032,81.1804,2.36726,0.45653,mudstone
1578.03,1578.85,9.27543,90.7802,1.51114,43.4158,46.6584,63.9102,2.52072,0.281491,siltstone
1578.85,1579.55,9.27885,84.4706,0.0921917,19.3108,21.2384,67.1204,2.49682,0.281523,mudstone
1579.55,1580.74,9.27885,55.2044,0.824781,113.728,109.906,53.6866,2.54336,0.466709,siltstone
1580.74,1582.51,9.52648,105.284,1.46999,12.293,14.4976,75.8682,2.38865,0.454586,mudstone
1582.51,1583.27,9.06537,74.3028,-0.0628395,58.5506,55.1687,59.2242,2.46915,0.470731,siltstone
1583.27,1583.78,9.25836,84.5956,0.527685,15.4538,17.2824,68.1975,2.42135,0.469187,silty mudstone
1583.78,1584.41,9.27885,92.0207,1.93818,18.8842,21.2354,74.5713,2.33582,0.461826,siltstone
1584.41,1584.53,9.27885,84.0797,1.79245,11.527,13.3519,76.7621,2.40374,0.326079,mudstone
1584.53,1585.1,9.38473,102.563,1.4993,8.05848,9.2625,79.8801,2.43519,0.479428,mudstone
1585.1,1586.55,9.30617,88.0131,1.60557,21.4598,22.6376,65.9345,2.44525,0.450343,siltstone
1586.55,1587.56,9.25665,99.2774,2.51968,6.65808,8.32974,79.8402,2.46915,0.461935,mudstone
1587.56,1588.01,9.16613,113.357,2.27558,9.3098,10.3752,73.8617,2.5094,0.319176,silty mudstone
1588.01,1590.09,8.9834,116.371,-1.61652,9.68092,10.0258,75.3219,2.39619,0.0425914,mudstone
1590.09,1592.99,7.92114,75.0528,-2.75529,24.3558,21.7993,74.518,2.22638,-0.0587242,siltstone
1592.99,1594.19,9.23103,98.5846,1.90633,10.2297,8.97307,74.3247,2.42387,-0.0508755,mudstone
1594.19,1594.76,9.49233,102.895,2.45147,13.4936,11.7639,73.2476,2.38361,-0.137056,silty mudstone
1594.76,1595.96,9.49233,102.657,2.14958,8.48828,7.319,75.494,2.47041,0.0704366,mudstone
1595.96,1596.97,9.49233,101.523,1.15034,11.0163,9.258,72.8179,2.43519,0.182501,silty mudstone
1596.97,1597.54,9.29764,96.9637,0.604637,11.113,9.31798,72.4848,2.43644,0.39215,mudstone
1597.54,1598.17,8.69478,92.8131,1.01138,16.4133,13.3474,73.3609,2.33078,0.370699,siltstone
