TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1640.74,1641.24,8.98881,129.026,-17.0317,12.8896,10.8257,70.5028,2.46824,0.207999,silty mudstone
1641.24,1642.2,8.93645,112.404,-16.1215,8.86811,9.25844,73.1753,2.35576,0.282155,mudstone
1642.2,1643.02,8.30195,88.7121,-18.9835,12.6373,12.315,75.6916,2.30577,0.227102,siltstone
1643.02,1644.42,8.82557,102.768,-16.9838,8.96441,8.72282,76.9165,2.37139,0.21973,mudstone
1644.42,1645.24,8.39743,77.8002,-18.9607,24.5973,20.0565,68.1781,2.37763,0.203115,siltstone
1645.24,1647.46,8.87793,93.4367,-14.9624,11.8412,10.6212,73.5241,2.37763,0.2579,silty mudstone
1647.46,1648.1,9.05658,90.9685,-16.2194,12.8733,12.222,71.4347,2.37763,0.276414,siltstone
1648.1,1649.05,9.2075,103.234,-15.02,8.39612,7.12051,78.3662,2.35264,0.173305,silty mudstone
1649.05,1650.38,9.57404,94.9108,-16.8957,11.7313,10.9203,77.0631,2.32764,0.210517,siltstone
1650.38,1651.02,9.82045,169.586,-15.4332,6.21923,6.18964,81.0536,2.3542,0.301764,mudstone
1651.02,1651.53,9.24754,126.334,-12.9126,10.2841,10.0947,77.384,2.39169,0.333151,silty mudstone
1651.53,1652.54,8.97649,110.457,-12.1982,7.81426,7.56458,79.7163,2.45262,0.326807,mudstone
1652.54,1653.05,8.97033,102.279,-11.848,13.1934,13.1238,73.0662,2.37451,0.297191,muddy siltstone
1653.05,1654.01,8.77013,107.404,-11.8524,11.106,10.3968,75.5129,2.30577,0.272208,silty mudstone
1654.01,1655.98,8.13254,75.6806,-22.6198,20.1988,17.827,78.2292,2.14487,0.198404,siltstone
1655.98,1657,10.994,131.645,-14.1381,5.89643,5.89817,83.373,2.34639,0.235088,mudstone
1657,1659.03,9.7496,102.547,-10.7954,9.78769,9.43394,78.5973,2.3792,0.341742,silty mudstone
1659.03,1660.05,10.3749,115.144,-12.1177,7.70982,8.1231,78.9674,2.36982,0.334879,mudstone
1660.05,1660.56,9.74036,92.2683,-13.0029,11.7788,12.3501,75.9087,2.40419,0.334736,silty mudstone
1660.56,1661.01,9.77424,100.43,-12.731,8.3595,7.50506,77.7114,2.48699,0.340347,mudstone
1661.01,1661.58,9.70648,93.5832,-12.0655,15.3743,14.4057,68.7526,2.51823,0.284414,muddy siltstone
1661.58,1662.09,10.033,124.738,-11.6838,7.09948,8.90594,76.4084,2.46356,0.300631,mudstone
1662.09,1662.53,9.88513,114.536,-11.8915,9.78905,11.6909,78.1244,2.45731,0.302168,silty mudstone
1662.53,1663.36,10.1685,113.523,-11.4381,6.60442,7.78127,80.7637,2.42763,0.335644,mudstone
1663.36,1663.93,9.16438,88.1599,-9.36334,21.2567,23.2657,64.133,2.5401,0.276205,siltstone
1663.93,1664.5,8.98881,108.247,-10.2789,12.3172,13.6686,72.1162,2.32764,0.259827,silty mudstone
1664.5,1665.27,9.07506,101.638,-13.1736,13.5759,16.8381,72.9025,2.41357,0.245614,siltstone
1665.27,1666.67,9.10278,110.661,-10.7585,9.02273,9.13484,78.4132,2.39013,0.273261,mudstone
1666.67,1667.88,8.11714,82.0191,-20.2884,21.1916,24.2057,75.5803,2.26516,0.149027,siltstone
1667.88,1668.58,9.80196,108.992,-16.0552,6.6519,7.64851,78.8594,2.48074,0.220229,mudstone
1668.58,1669.08,9.96213,114.531,-11.6654,9.18278,9.72388,74.8945,2.43231,0.271066,silty mudstone
1669.08,1669.53,10.1254,123.287,-10.5486,4.58759,5.38086,80.1924,2.47918,0.280276,mudstone
1669.53,1672.01,10.0638,121.937,-8.61195,10.0983,9.4202,74.7715,2.40263,0.367168,silty mudstone
1672.01,1673.03,11.533,107.221,-7.56261,6.97063,6.11029,79.9538,2.33077,0.547107,mudstone
1673.03,1673.54,9.1613,91.8543,-10.0016,13.6396,11.6589,72.1611,2.41357,0.399281,siltstone
1673.54,1674.55,9.32147,106.866,-10.3257,7.97566,6.90992,78.0046,2.41669,0.442809,mudstone
1674.55,1675.26,9.30914,127.756,-10.6954,12.1857,10.3083,75.7718,2.36045,0.433039,siltstone
1675.26,1676.22,9.29991,281.861,-12.2188,9.69953,8.26807,76.3838,2.45575,0.423658,mudstone
1676.22,1676.99,10.0669,227.805,-10.2006,11.5278,10.9264,73.1314,2.34952,0.270445,siltstone
1676.99,1678.01,10.4242,116.787,-8.95122,6.02663,5.8646,82.1127,2.32452,0.337412,mudstone
1678.01,1678.53,8.47751,99.1425,-11.6643,12.4949,11.6741,74.5672,2.31046,0.281149,siltstone
1678.53,1680.19,8.53911,91.1526,-17.3437,14.3585,13.3909,72.0188,2.38701,0.216837,silty mudstone
1680.19,1680.96,8.86869,88.0457,-13.0551,23.4661,21.3124,64.7364,2.46981,0.27587,siltstone
1680.96,1681.99,10.2363,114.3,-13.1529,7.23647,8.37641,76.143,2.33389,0.327747,mudstone
1681.99,1683.01,9.0843,113.677,-11.6317,15.0624,14.3385,72.7474,2.39638,0.248268,siltstone
1683.01,1684.42,9.13666,102.944,-10.9857,10.3031,9.96346,75.2401,2.39326,0.190659,mudstone
