TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
2032.04,2032.74,9.27982,109.818,-9.85476,13.7346,15.0469,87.1267,2.35649,-0.370162,siltstone
2032.74,2033.5,9.95747,109.942,-9.69951,7.73657,7.14732,92.5797,2.33198,-0.347386,mudstone
2033.5,2034.01,9.40203,109.897,-10.5451,8.9271,11.8013,88.84,2.37018,-0.353931,siltstone
2034.01,2034.77,9.45765,109.43,-14.2479,8.78022,10.1861,90.8114,2.42434,-0.353358,mudstone
2034.77,2036.48,8.66092,109.041,-19.6964,14.02,19.2385,88.7402,2.50873,-0.178478,siltstone
2036.48,2037.88,9.23751,109.544,-14.1224,7.70433,7.7496,89.3383,2.4175,-0.151995,mudstone
2037.88,2038.52,9.27512,109.349,-13.2851,13.5578,17.5928,87.2076,2.46027,-0.141051,siltstone
2038.52,2039.21,9.14899,109.466,-13.731,8.39333,9.01803,89.0697,2.49733,-0.139344,muddy siltstone
2039.21,2042.01,9.25866,109.502,-11.9027,8.14735,8.68951,89.6254,2.47737,-0.149669,muddy siltstone
2042.01,2042.64,8.93198,109.774,-10.3618,9.74028,13.31,87.7018,2.53097,-0.18087,siltstone
2042.64,2044.1,9.92065,109.737,-7.94225,5.19313,2.73976,93.5017,2.3907,-0.037907,mudstone
2044.1,2044.8,9.17954,109.461,-7.52936,9.57311,12.6438,86.0068,2.52869,-0.148009,siltstone
2044.8,2045.94,9.45687,109.419,-9.32461,7.13713,7.40283,89.2786,2.43575,-0.126279,silty mudstone
2045.94,2046.83,9.25945,109.309,-13.4651,8.8447,11.0591,88.7597,2.46426,-0.145779,siltstone
2046.83,2047.4,9.20461,109.504,-12.4708,7.57776,8.97544,90.279,2.50702,-0.157462,silty mudstone
2047.4,2048.03,9.00562,109.693,-10.5814,11.3249,16.3853,87.3141,2.42263,-0.190104,siltstone
2048.03,2048.67,9.2947,109.52,-9.77879,7.45476,8.37925,89.1844,2.41921,-0.193432,mudstone
2048.67,2049.37,8.91866,109.636,-10.3106,8.18556,9.51688,88.8415,2.56461,-0.292952,muddy siltstone
2049.37,2050,9.25318,109.583,-8.67884,7.2446,7.21728,89.7157,2.55035,-0.526554,mudstone
2050,2051.26,9.85171,109.456,-8.74821,9.84178,11.6674,89.4241,2.40838,-0.247076,siltstone
2051.26,2051.64,9.60963,109.709,-7.72259,7.76762,7.8226,90.8918,2.46426,-0.189859,muddy siltstone
2051.64,2052.4,10.0421,109.608,-7.22217,6.4541,6.00969,92.1035,2.35877,-0.263839,mudstone
2052.4,2053.35,9.34171,109.359,-9.01411,9.83462,12.4309,88.8166,2.41807,-0.274068,siltstone
2053.35,2054.04,9.59397,109.297,-7.6268,7.11325,6.77014,92.1451,2.31487,0.160677,mudstone
2054.04,2054.61,9.12392,109.013,-8.51534,15.0612,21.7571,87.5729,2.48592,-0.211355,siltstone
2054.61,2055.24,9.48194,109.397,-8.64416,10.4794,15.0986,90.0498,2.385,-0.440354,mudstone
2055.24,2056.12,9.09885,109.488,-6.37326,35.1831,42.636,81.1342,2.60281,-0.472437,siltstone
2056.12,2056.82,10.0672,109.864,-4.51855,9.84298,13.9822,90.1263,2.30632,-0.418874,mudstone
2056.82,2057.45,9.39184,109.39,-3.97684,15.1364,20.6377,86.3888,2.40097,-0.417222,siltstone
2057.45,2058.96,9.73185,109.926,-4.79437,7.3879,7.46367,92.3975,2.34851,-0.375746,mudstone
2058.96,2060.98,9.1153,109.4,-8.87704,11.9303,14.3564,88.0372,2.50075,-0.399896,siltstone
2060.98,2061.55,9.16074,109.618,-9.56243,8.11749,8.05073,92.0388,2.32912,-0.450813,mudstone
2061.55,2062.56,8.96332,109.235,-6.97939,32.974,35.8406,83.6891,2.56119,-0.507748,siltstone
2062.56,2063.51,9.01972,110.175,-6.26426,11.1553,14.3929,89.4214,2.50645,-0.533068,mudstone
2063.51,2064.02,8.98368,110.313,-3.71259,12.4139,17.097,89.4414,2.46426,-0.555584,siltstone
2064.02,2064.65,9.6112,110.082,-4.72995,7.43088,8.00815,93.0347,2.30062,-0.510644,mudstone
2064.65,2066.54,8.95156,109.334,-16.8491,24.2952,27.9988,87.0227,2.52926,-0.542629,siltstone
2066.54,2067.42,9.49761,109.983,-12.7549,6.74188,4.94506,92.0315,2.37132,-0.52406,mudstone
2067.42,2069.63,8.93198,109.191,-20.4595,16.7951,22.7974,87.0079,2.52755,0.109402,siltstone
