TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1558.48,1560,10.2831,125.569,1.55034,2.89872,0.93271,101.298,2.35839,0.745219,silty mudstone
1560,1562.44,10.4897,115.021,1.53527,2.27166,0.0356283,97.8157,2.39792,0.745025,mudstone
1562.44,1564.02,10.2654,122.932,0.568512,2.63396,1.32641,90.6221,2.46767,0.744013,silty mudstone
1564.02,1564.88,10.3624,130.713,1.12848,2.59215,0.153739,96.4167,2.35316,0.755125,mudstone
1564.88,1565.56,9.45147,115.221,-0.169743,14.0447,8.69991,75.6974,2.41594,0.737407,siltstone
1565.56,1566.5,9.39929,115.06,-0.250095,10.8066,7.75783,81.1922,2.49847,0.754143,silty mudstone
1566.5,1568.98,10.04,115.06,0.628777,4.58829,1.58513,95.9012,2.33049,0.737059,mudstone
1568.98,1569.44,10.2059,143.521,0.972794,2.79595,1.68918,99.4153,2.39501,0.484178,silty mudstone
1569.44,1570.43,10.5836,123.073,0.237049,2.79595,1.3939,97.898,2.40199,0.517205,mudstone
1570.43,1571.5,10.5064,121.53,1.08579,3.68776,1.40515,93.4891,2.42582,0.579927,silty mudstone
1571.5,1575.12,10.8612,112.001,1.15611,3.68776,0.665556,95.3545,2.31364,0.60513,mudstone
1575.12,1575.99,10.1996,126.681,0.395248,2.50158,2.02102,90.4244,2.42175,0.706127,silty mudstone
1575.99,1577.28,10.1548,137.262,1.21386,2.39184,1.56826,95.4481,2.39734,0.826875,mudstone
1577.28,1577.82,9.42642,114.999,0.940151,11.5504,8.33995,75.1743,2.43686,0.755782,siltstone
1577.82,1579.03,9.31581,113.427,1.10337,12.6146,7.81689,83.1427,2.47871,0.622787,muddy siltstone
1579.03,1579.75,10.5523,119.804,3.07205,4.58829,1.71449,96.1481,2.39327,0.427149,mudstone
1579.75,1580.44,10.3092,122.849,2.71046,5.0429,2.7578,89.8417,2.41535,0.326721,silty mudstone
1580.44,1585.56,10.5127,121.196,3.07959,4.66667,0.446205,97.7079,2.2805,0.536903,mudstone
1585.56,1586.25,9.3659,107.098,1.57294,15.8422,10.4491,75.9443,2.35897,0.383419,siltstone
1586.25,1587.97,10.7673,112.635,2.63763,5.05509,1.28142,96.8604,2.35142,0.466824,mudstone
1587.97,1589.38,9.07477,105.589,-0.98333,8.86447,7.52724,76.9649,2.40722,0.760733,muddy siltstone
1589.38,1590.67,8.73773,103.497,-1.48304,12.2088,12.8422,73.5464,2.5008,0.373646,siltstone
1590.67,1592.89,10.3196,110.095,0.606178,4.39146,1.29267,94.0311,2.35142,0.168235,mudstone
1592.89,1595.43,8.86608,83.0378,-1.83709,23.1161,15.6628,73.5436,2.44151,0.698942,siltstone
1595.43,1596.49,10.905,128.152,0.0914078,4.29043,1.59638,95.9986,2.30724,0.495771,mudstone
1596.49,1597.19,10.0922,123.052,1.46497,4.56738,2.58345,91.0468,2.35084,0.496195,silty mudstone
1597.19,1597.98,10.2278,121.478,1.68092,4.87569,1.80729,93.7341,2.36885,0.586662,mudstone
1597.98,1598.65,10.4021,119.491,0.656403,4.2556,2.83092,93.0152,2.39327,0.746961,silty mudstone
1598.65,1599.7,10.616,118.924,1.19879,3.11819,1.43609,92.5943,2.42175,0.720617,mudstone
1599.7,1600.69,9.65077,106.833,-0.456005,5.01155,4.00922,82.8154,2.48452,0.682406,muddy siltstone
1600.69,1601.5,9.64972,110.529,-1.43532,4.49423,3.27524,83.5958,2.48278,0.89558,silty mudstone
1601.5,1602.24,9.59129,123.386,0.221985,4.9889,4.73757,82.6404,2.47173,0.792386,siltstone
1602.24,1603.69,10.6598,132.097,0.862309,3.6895,1.34329,93.0266,2.41361,0.494806,mudstone
1603.69,1604.21,9.64346,111.325,-0.619225,7.39088,4.72351,82.9649,2.38629,0.449947,siltstone
1604.21,1606.51,9.83233,113.306,-0.616714,6.76905,4.29325,85.6096,2.4543,0.437203,silty mudstone
1606.51,1607.86,11.0386,124.243,-0.0341454,3.51184,1.52045,95.1672,2.28922,0.569462,mudstone
1607.86,1608.67,9.55999,122.822,-1.25452,5.35643,4.14983,84.7895,2.5008,0.381454,muddy siltstone
1608.67,1613.95,10.208,117.574,-0.794998,4.39146,1.68637,92.2746,2.43105,0.342344,mudstone
1613.95,1614.59,8.98608,87.6969,-3.05748,18.1797,15.061,69.3134,2.48278,0.243395,siltstone
1614.59,1615.97,9.34399,103.688,-1.96767,14.8023,9.34952,78.2703,2.4915,0.612874,silty mudstone
1615.97,1617.49,9.30121,103.105,-2.69839,6.30398,7.44287,80.6058,2.47115,0.397419,muddy siltstone
1617.49,1617.98,8.69078,90.79,-0.702091,12.8567,15.3985,71.7142,2.50661,0.308416,siltstone
1617.98,1623.46,9.90746,108.141,-0.594112,9.0909,2.65094,90.7895,2.47232,0.300342,mudstone
1623.46,1623.99,10.2591,133.691,-0.222473,3.60067,2.69313,90.7431,2.47929,0.327389,muddy siltstone
1623.99,1630.46,10.0838,100.986,0.362606,6.80911,2.38941,92.5338,2.46069,0.462935,mudstone
1630.46,1631.41,8.76069,87.7446,-0.877865,16.9221,17.8001,72.9164,2.50835,0.314664,siltstone
1631.41,1633.56,9.92103,104.581,0.83971,7.11916,3.9811,93.9838,2.41128,0.572137,mudstone
1633.56,1634.5,9.35025,113.8,-1.85216,7.15574,6.46705,82.2195,2.4944,0.59831,muddy siltstone
1634.5,1635.16,8.7993,110.62,-2.69839,7.80021,9.12736,78.4264,2.48859,0.346268,silty mudstone
1635.16,1635.81,9.02782,98.8969,-1.19928,11.6932,10.5109,79.3666,2.48685,0.151247,muddy siltstone
1635.81,1638.65,9.84381,126.585,-0.56147,7.68002,3.51428,94.9591,2.4572,0.26547,mudstone
1638.65,1640.27,9.4212,120.205,0.5434,6.91188,6.37144,88.1513,2.445,0.216618,oil shale
1640.27,1641.06,9.70607,127.403,2.20322,5.8964,3.64364,91.2473,2.45023,-0.0105461,mudstone
1641.06,1641.79,9.46816,125.594,1.68343,4.86349,4.41417,89.0367,2.45023,0.355158,mudstone
1641.79,1643.88,9.81668,130.569,3.25034,3.74002,2.68469,92.8232,2.47871,0.255841,mudstone
1643.88,1644.46,9.45773,127.399,3.13734,5.09167,4.58571,87.1714,2.47406,0.638853,mudstone
1644.46,1646.31,10.0922,127.474,3.92331,4.65448,2.72124,97.1054,2.44035,0.315195,mudstone
1646.31,1646.97,9.08103,113.048,3.47633,11.4389,9.88383,79.9994,2.45313,0.661486,mudstone
1646.97,1647.63,9.73633,116.809,3.42611,7.07387,5.01597,92.1232,2.46069,0.395367,mudstone
1647.63,1650.32,9.36068,104.714,2.50706,7.82808,7.03511,88.6196,2.44732,0.693308,mudstone
1650.32,1651.13,10.088,123.947,1.41726,4.85653,3.15713,95.1568,2.42058,0.681579,mudstone
1651.13,1654.31,9.06538,100.722,-2.02291,8.8993,9.72916,80.1583,2.46999,0.660755,mudstone
1654.31,1656.19,9.49425,110.973,-2.35186,7.31772,4.89224,90.7611,2.48045,0.659658,mudstone
1656.19,1657.41,9.06956,113.266,-2.58791,7.85595,8.43557,82.4437,2.47057,0.660664,mudstone
1657.41,1659.19,9.78016,125.345,-1.29721,4.85304,3.75894,94.733,2.45197,0.650272,mudstone
1659.19,1659.72,9.59129,108.292,-1.7015,4.86872,4.86412,84.3024,2.48336,0.609764,mudstone
1659.72,1660.44,9.66016,118.242,-1.89234,4.96975,4.24825,89.1483,2.47929,0.609026,mudstone
1660.44,1661.2,9.57877,116.732,-1.01598,5.25889,5.77526,88.6252,2.47929,0.553459,mudstone
1661.2,1662.25,10.2716,124.973,-1.01346,4.57958,2.98278,98.0125,2.46534,0.607192,mudstone
1662.25,1664.55,9.60903,117.233,-0.968266,7.579,5.6009,89.5286,2.47173,0.720315,mudstone
1664.55,1664.97,10.2226,125.985,-1.34492,4.33049,3.97266,94.6952,2.39327,0.609101,mudstone
1664.97,1666.01,10.4908,129.301,-0.30032,3.1687,2.36973,98.6264,2.34386,0.607917,mudstone
1666.01,1667.28,10.1172,130.413,-0.599136,3.41604,2.74656,102.051,2.33107,0.642206,mudstone
1667.28,1669.14,9.77077,120.472,-0.744778,5.54106,4.94848,95.6136,2.32584,0.69966,mudstone
1669.14,1669.88,10.304,131.733,0.181808,3.69647,2.51877,104.264,2.31945,0.707884,mudstone
1669.88,1670.78,9.35651,123.422,-2.00785,7.39262,7.26008,83.8398,2.41884,0.690432,mudstone
1670.78,1671.43,8.92764,142.651,-1.15157,30.6826,23.6016,66.5476,2.51242,0.728356,mudstone
1671.43,1674.6,9.60903,123.567,-1.06871,14.5149,7.61441,95.3781,2.24563,0.662426,mudstone
1674.6,1675.29,9.04556,105.994,0.149162,18.2843,19.5155,78.6316,2.47406,0.640096,oil shale
1675.29,1675.8,9.01947,111.409,-1.3625,14.393,14.7939,83.3423,2.45023,0.530217,mudstone
1675.8,1676.65,8.9819,106.405,-0.219963,10.0088,13.8152,84.1983,2.44267,0.583542,oil shale
1676.65,1679,9.65494,119.283,-0.0818558,7.70615,6.54298,88.8324,2.45662,0.458479,mudstone
1679,1681.06,8.82538,117.814,-1.53326,10.3572,12.3248,79.9531,2.46999,0.487372,mudstone
1681.06,1681.89,9.06434,114.742,-1.3399,9.31037,9.79665,85.6683,2.47348,0.0358541,mudstone
1681.89,1682.71,8.77738,118.124,-3.07254,10.939,13.2359,77.7425,2.47406,0.367009,mudstone
1682.71,1685.24,9.17077,125.211,-2.02291,9.56468,7.50193,96.3496,2.40722,0.267748,mudstone
1685.24,1686.25,8.88173,109.509,-3.3563,17.0772,17.8507,73.99,2.48975,0.143194,siltstone
1686.25,1687.31,8.73356,97.1667,-2.6783,12.3063,13.1825,79.7601,2.49557,-0.0505767,muddy siltstone
1687.31,1688.38,9.39407,126.144,-2.76117,5.94865,5.78088,95.7508,2.44035,-0.0173329,mudstone
1688.38,1689.19,9.31581,135.235,-1.86974,5.97826,6.72577,91.0137,2.45313,6.96E-05,mudstone
1689.19,1689.75,9.40034,134.506,-1.78436,5.52016,5.39561,90.746,2.47464,-0.262007,mudstone
1689.75,1691.7,9.63303,124.303,-1.49057,6.39804,6.34613,92.5139,2.45953,0.265252,mudstone
1691.7,1692.44,9.9252,137.077,-0.732224,4.46113,3.19931,98.3549,2.43744,0.256947,mudstone
1692.44,1693.33,9.45668,120.659,-1.32484,6.95542,6.92262,87.1458,2.4665,0.117832,mudstone
